worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,year,title
80.71,42.0,0.52,38.7,0.48,2019,A Dog's Way Home
78.87,22.78,0.29,56.09,0.71,2019,A Dog's Journey
76.42,32.14,0.42,44.28,0.58,2019,Cold Pursuit
75.56,27.17,0.36,48.39,0.64,2019,Cats
74.75,73.26,0.98,1.49,0.02,2019,A Madea Family Funeral
73.28,17.8,0.24,55.48,0.76,2019,Charlie's Angels
72.38,31.58,0.44,40.8,0.56,2019,Doctor Sleep
72.22,54.61,0.76,17.6,0.24,2019,What Men Want
69.5,0.47,0.01,69.03,0.99,2019,Exit
69.5,12.14,0.18,57.36,0.82,2019,After
69.41,44.45,0.64,24.96,0.36,2019,Playing with Fire
67.93,61.7,0.91,6.22,0.09,2019,A Beautiful Day in the Neighborhood
67.18,4.65,0.07,62.53,0.93,2019,War
65.41,0.0,0.0,65.41,1.0,2019,Doraemon: Nobita's Chronicle of the Moon Exploration
64.6,28.15,0.44,36.45,0.56,2019,Happy Death Day 2U
62.1,0.03,0.0,62.06,1.0,2019,White Snake
61.4,31.76,0.52,29.64,0.48,2019,Bombshell
61.35,0.37,0.01,60.98,0.99,2019,Ashfall
61.22,45.9,0.75,15.32,0.25,2019,Ma
60.01,0.0,0.0,60.01,1.0,2019,My Best Summer
57.62,28.71,0.5,28.9,0.5,2019,Ready or Not
57.15,0.0,0.0,57.15,1.0,2019,Jade Dynasty
56.57,0.0,0.0,56.57,1.0,2019,The Perfect Secret
56.04,0.0,0.0,56.04,1.0,2019,The Big Shot
55.06,21.9,0.4,33.16,0.6,2019,Hellboy
54.61,0.33,0.01,54.28,0.99,2019,Les Misérables
53.87,30.32,0.56,23.56,0.44,2019,Long Shot
50.9,36.0,0.71,14.9,0.29,2019,Just Mercy
50.8,0.0,0.0,50.8,1.0,2019,Son of a Rich
50.57,0.0,0.0,50.57,1.0,2019,Kingdom
50.44,40.71,0.81,9.73,0.19,2019,Breakthrough
50.02,50.02,1.0,0.0,0.0,2019,Uncut Gems
49.94,28.54,0.57,21.4,0.43,2019,21 Bridges
49.62,0.0,0.0,49.62,1.0,2019,Song of Youth
49.51,21.22,0.43,28.29,0.57,2019,The Grudge
48.99,40.86,0.83,8.13,0.17,2019,Little
48.79,48.79,1.0,0.0,0.0,2019,Isn't It Romantic
48.51,0.0,0.0,48.51,1.0,2019,The Legend of Hei
48.02,25.62,0.53,22.4,0.47,2019,Countdown
47.88,27.43,0.57,20.45,0.43,2019,Midsommar
47.83,43.81,0.92,4.03,0.08,2019,Queen & Slim
47.58,22.26,0.47,25.32,0.53,2019,47 Meters Down: Uncaged
45.73,0.2,0.0,45.54,1.0,2019,Chasing the Dragon II: Wild Wild Bunch
45.7,24.31,0.53,21.39,0.47,2019,Judy
44.91,29.21,0.65,15.7,0.35,2019,Child's Play
44.65,22.35,0.5,22.3,0.5,2019,Richard Jewell
43.35,43.08,0.99,0.26,0.01,2019,Harriet
43.1,0.0,0.0,43.1,1.0,2019,A Shaun the Sheep Movie: Farmageddon
41.5,22.96,0.55,18.54,0.45,2019,Fighting with My Family
40.4,0.0,0.0,40.4,1.0,2019,Masquerade Hotel
39.76,0.0,0.0,39.76,1.0,2019,The Last Wish
39.35,4.19,0.11,35.16,0.89,2019,Uri: The Surgical Strike
38.03,34.75,0.91,3.28,0.09,2019,Overcomer
37.41,0.0,0.0,37.41,1.0,2019,T-34
37.36,4.57,0.12,32.79,0.88,2019,Pain and Glory
37.09,0.0,0.0,37.09,1.0,2019,A Witness Out of the Blue
36.6,35.42,0.97,1.18,0.03,2019,The Intruder
35.52,0.0,0.0,35.52,1.0,2019,The Queen's Corgi
34.29,0.0,0.0,34.29,1.0,2019,Warrior of the Hornor
34.15,0.0,0.0,34.15,1.0,2019,The Battle: Roar to Victory
34.02,0.17,0.0,33.86,1.0,2019,The Bad Guys: The Movie
33.86,17.16,0.51,16.7,0.49,2019,The Good Liar
33.77,26.4,0.78,7.37,0.22,2019,The Art of Racing in the Rain
33.22,17.3,0.52,15.92,0.48,2019,Brightburn
33.19,2.97,0.09,30.21,0.91,2019,Bharat
32.8,0.0,0.0,32.8,1.0,2019,Fly Me to the Saitama
32.45,20.15,0.62,12.3,0.38,2019,UglyDolls
32.39,22.37,0.69,10.02,0.31,2019,Stuber
32.33,0.0,0.0,32.33,1.0,2019,Hit Me Anyone One More Time!
32.22,0.0,0.0,32.22,1.0,2019,Somewhere Winter
32.14,16.79,0.52,15.35,0.48,2019,The Kid Who Would Be King
32.0,0.0,0.0,32.0,1.0,2019,Two Tigers
31.63,7.74,0.24,23.88,0.76,2019,Anna
31.18,0.09,0.0,31.09,1.0,2019,My Dear Liar
31.06,0.01,0.0,31.05,1.0,2019,The Wild Goose Lake
29.97,13.3,0.44,16.67,0.56,2019,My Hero Academia: Heroes Rising
29.21,0.0,0.0,29.21,1.0,2019,Fall In Love At First Kiss
28.3,5.57,0.2,22.73,0.8,2019,Gully Boy
27.7,0.0,0.0,27.7,1.0,2019,Kim Ji-young: Born 1982
27.35,0.0,0.0,27.35,1.0,2019,Pokémon: Mewtwo Strikes Back - Evolution
26.99,0.0,0.0,26.99,1.0,2019,Almost a Comedy
26.91,2.17,0.08,24.74,0.92,2019,Total Dhamaal
26.57,16.65,0.63,9.92,0.37,2019,Missing Link
26.49,9.27,0.35,17.22,0.65,2019,No Manches Frida 2
26.23,0.0,0.0,26.23,1.0,2019,The Confidence Man JP
25.96,0.0,0.0,25.96,1.0,2019,The Confidence Man JP: The Movie
25.78,0.22,0.01,25.56,0.99,2019,"The Gangster, the Cop, the Devil"
25.29,0.0,0.0,25.29,1.0,2019,Bodies at Rest
24.96,22.68,0.91,2.28,0.09,2019,Booksmart
24.7,2.27,0.09,22.43,0.91,2019,Super 30
24.44,0.0,0.0,24.44,1.0,2019,Skyfire
24.11,0.0,0.0,24.11,1.0,2019,Start-Up
23.84,1.83,0.08,22.01,0.92,2019,Pinocchio
23.81,0.0,0.0,23.81,1.0,2019,A Rainy Day in New York
23.71,20.46,0.86,3.25,0.14,2019,The Peanut Butter Falcon
23.62,0.0,0.0,23.62,1.0,2019,Little White Lies 2
23.42,0.0,0.0,23.42,1.0,2019,Ossan's Love: Love or Dead
23.41,0.0,0.0,23.41,1.0,2019,Only Cloud Knows
23.11,11.14,0.48,11.97,0.52,2019,Dark Waters
23.08,17.7,0.77,5.38,0.23,2019,The Farewell
22.94,0.0,0.0,22.94,1.0,2019,The Knight of Shadows: Between Yin and Yang
22.74,22.06,0.97,0.69,0.03,2019,Black and Blue
22.39,15.5,0.69,6.89,0.31,2019,Late Night
21.59,19.01,0.88,2.58,0.12,2019,Unplanned
21.39,0.0,0.0,21.39,1.0,2019,Crazy Romance
21.36,21.36,1.0,0.0,0.0,2019,Shaft
21.31,9.65,0.45,11.66,0.55,2019,Hotel Mumbai
21.29,0.0,0.0,21.29,1.0,2019,Integrity
21.08,0.0,0.0,21.08,1.0,2019,The Secret Mission
20.08,0.0,0.0,20.08,1.0,2019,This Is Tomas
19.36,0.0,0.0,19.36,1.0,2019,The Specials
19.02,0.09,0.0,18.92,1.0,2019,Always Miss You
18.9,0.0,0.0,18.9,1.0,2019,An Officer and a Spy
18.74,0.0,0.0,18.74,1.0,2019,Crayon Shin-chan: Honeymoon Hurricane - The Lost Hiroshi
18.65,10.53,0.56,8.12,0.44,2019,Greta
