title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
King Arthur: Legend of the Sword,2017,126,149.18,39.18,0.26,110.0,0.74,128495,2.8,"Drama, Action, Fantasy"
The Foreigner,2017,113,145.37,34.39,0.24,110.98,0.76,59377,3.2,"Action, Thriller, High Speed And Special Ops"
Power Rangers,2017,124,142.34,85.36,0.6,56.97,0.4,113870,2.5,"Adventure, Action, Science Fiction"
Girls Trip,2017,122,140.55,115.17,0.82,25.38,0.18,60637,3.1,"Comedy, Crude Humor And Satire, Funny Jokes And Crude Humor"
American Made,2017,115,134.87,51.34,0.38,83.52,0.62,138075,3.4,"Comedy, Crime, Drama"
A Bad Moms Christmas,2017,104,130.56,72.11,0.55,58.45,0.45,64168,2.6,"Comedy, Crude Humor And Satire, Relationship Comedy"
Happy Death Day,2017,97,125.48,55.68,0.44,69.8,0.56,417770,3.0,"Mystery, Horror, Comedy"
Captain Underpants: The First Epic Movie,2017,89,125.43,73.92,0.59,51.51,0.41,65737,3.0,"Family, Animation, Comedy"
The Lego Ninjago Movie,2017,101,123.68,59.28,0.48,64.4,0.52,58604,3.0,"Adventure, Action, Comedy"
Secret Superstar,2017,150,122.03,0.0,0.0,122.03,1.0,8983,3.4,"Music, Drama, Moving Relationship Stories"
The Dark Tower,2017,95,113.23,50.7,0.45,62.53,0.55,80628,2.1,"Fantasy, Science Fiction, Action"
Immortal Demon Slayer,2017,130,103.82,0.0,0.0,103.82,1.0,786,3.0,"Action, Family, Fantasy"
Jigsaw,2017,91,102.95,38.05,0.37,64.9,0.63,162733,2.4,"Mystery, Thriller, Horror"
Life,2017,104,100.54,30.23,0.3,70.31,0.7,227750,3.0,"Science Fiction, Thriller, Horror"
Atomic Blonde,2017,115,100.01,51.69,0.52,48.33,0.48,220500,3.3,"Thriller, Adventure, Action"
Legend of the Demon Cat,2017,129,97.05,0.0,0.0,97.05,1.0,1587,3.0,"Adventure, Family, Fantasy"
The Shack,2017,132,96.94,57.39,0.59,39.56,0.41,23119,2.7,"Fantasy, Drama, Faith And Religion"
Chasing the Dragon,2017,128,87.97,0.46,0.0,87.51,1.0,1751,3.1,"History, Crime, Action"
Tiger Zinda Hai,2017,160,87.32,5.56,0.06,81.76,0.94,7387,2.9,"Thriller, Adventure, Action"
A Taxi Driver,2017,138,86.25,1.53,0.02,84.73,0.98,67433,4.2,"Drama, History, Action"
Going in Style,2017,96,85.22,45.02,0.53,40.2,0.47,50611,3.0,"Crime, Comedy, Crude Humor And Satire"
Rings,2017,102,83.08,27.79,0.34,55.29,0.66,32680,1.7,"Horror, The Undead And Monster Classics, Terrifying"
Paradox,2017,99,79.23,0.0,0.0,79.23,1.0,2715,3.2,"Crime, Adventure, Action"
Lady Bird,2017,94,78.97,48.96,0.62,30.01,0.38,2062281,3.8,"Comedy, Drama, Moving Relationship Stories"
The Nut Job 2: Nutty by Nature,2017,91,68.74,28.37,0.41,40.37,0.59,6472,2.1,"Adventure, Comedy, Animation"
