title,year,length,worldwide_revenue,domestic_revenue,domestic_percent,foreign_revenue,foreign_percent,number_ratings,average_rating,genres
Detective Dee: The Four Heavenly Kings,2018,132,90.04,0.26,0.0,89.78,1.0,2433,3.3,"Fantasy, Action, Adventure"
Robin Hood,2018,116,86.49,30.82,0.36,55.66,0.64,44166,2.2,"Action, Adventure, Fantasy"
I Can Only Imagine,2018,110,86.09,83.48,0.97,2.6,0.03,9424,3.2,"Music, Drama, Faith And Religion"
Hidden Man,2018,137,85.17,0.0,0.0,85.17,1.0,1331,3.1,"Action, Drama, Crime"
Mortal Engines,2018,128,83.67,15.95,0.19,67.72,0.81,85305,2.5,"Adventure, Science Fiction, Epic Heroes"
Den of Thieves,2018,140,80.51,44.95,0.56,35.56,0.44,62485,3.2,"Action, Crime, Thriller"
Hereditary,2018,128,80.0,44.07,0.55,35.93,0.45,1722359,4.0,"Thriller, Horror, Mystery"
Code Blue: The Movie,2018,127,78.78,0.0,0.0,78.78,1.0,238,3.3,"Action, Drama, Adventure"
Tag,2018,100,78.23,54.73,0.7,23.5,0.3,207618,3.0,"Comedy, Action, Crude Humor And Satire"
Sanju,2018,161,76.69,7.91,0.1,68.78,0.9,13213,3.3,"Drama, Comedy, Moving Relationship Stories"
Vice,2018,132,76.07,47.84,0.63,28.24,0.37,237964,3.4,"Drama, Comedy, Politics And Human Rights"
Widows,2018,129,75.98,42.4,0.56,33.58,0.44,130581,3.6,"Crime, Thriller, Drugs And Gangsters"
Sicario: Day of the Soldado,2018,122,75.84,50.07,0.66,25.77,0.34,114751,3.2,"Thriller, Crime, Action"
Searching,2018,102,75.46,26.02,0.34,49.44,0.66,243357,3.7,"Thriller, Mystery, Drama"
The Spy Who Dumped Me,2018,116,75.32,33.56,0.45,41.76,0.55,76776,2.8,"Comedy, Adventure, Action"
Animal World,2018,125,74.92,0.0,0.0,74.92,1.0,4872,3.2,"Action, Adventure, Thriller"
Second Act,2018,103,72.28,39.28,0.54,33.0,0.46,22957,2.5,"Comedy, Romance, Relationship Comedy"
Shoplifters,2018,120,68.0,3.31,0.05,64.69,0.95,224434,4.3,"Drama, Thriller, Crime"
12 Strong,2018,130,67.36,45.82,0.68,21.54,0.32,42487,2.9,"History, Drama, War"
"Love, Simon",2018,110,66.32,40.83,0.62,25.49,0.38,425887,3.3,"Romance, Comedy, Drama"
Mile 22,2018,94,66.31,36.11,0.55,30.2,0.46,34569,2.4,"Action, Thriller, High Speed And Special Ops"
Life of the Party,2018,105,65.66,53.06,0.81,12.6,0.19,33697,2.6,"Comedy, Crude Humor And Satire, Relationship Comedy"
L Storm,2018,97,64.52,0.0,0.0,64.52,1.0,268,3.0,"Thriller, Crime, Action"
Capernaum,2018,126,64.42,1.66,0.03,62.76,0.97,85138,4.2,"Drama, Moving Relationship Stories, Humanity And The World Around Us"
Isle of Dogs,2018,101,64.24,32.02,0.5,32.23,0.5,712069,4.0,"Comedy, Animation, Adventure"
Andhadhun,2018,139,62.48,1.19,0.02,61.28,0.98,32767,3.9,"Crime, Comedy, Mystery"
Adrift,2018,96,59.95,31.45,0.52,28.5,0.48,49288,3.1,"Thriller, Adventure, Romance"
The 15:17 to Paris,2018,94,57.18,36.28,0.63,20.9,0.37,25014,2.2,"Drama, Thriller, War And Historical Adventure"
Go Brother!,2018,113,54.66,0.0,0.0,54.66,1.0,437,3.2,"Drama, Comedy"
Go Brother!,2018,113,54.66,0.0,0.0,54.66,1.0,439,3.2,"Drama, Comedy"
Early Man,2018,89,54.62,8.27,0.15,46.36,0.85,30680,2.9,"Comedy, Family, Animation"
Peppermint,2018,102,53.92,35.42,0.66,18.5,0.34,29135,2.6,"Thriller, Action, Crime"
Slender Man,2018,93,51.74,30.57,0.59,21.17,0.41,89416,1.2,"Horror, Thriller, Mystery"
Breaking In,2018,88,51.41,46.84,0.91,4.57,0.09,12689,2.4,"Thriller, Action, Crime"
Cry Me a Sad River,2018,104,51.4,0.0,0.0,51.4,1.0,2876,3.4,Drama
Simmba,2018,159,51.33,5.1,0.1,46.23,0.9,5028,2.5,"Action, Drama, Comedy"
Death Wish,2018,107,49.56,34.02,0.69,15.55,0.31,35178,2.6,"Thriller, Crime, Action"
The Magic Tuche,2018,92,47.43,0.0,0.0,47.43,1.0,8065,2.4,Comedy
Golden Job,2018,100,47.29,0.29,0.01,47.0,0.99,526,3.0,"Adventure, Action, Crime"
Mary Queen of Scots,2018,124,46.71,16.47,0.35,30.24,0.65,78275,3.1,"History, Drama, Epic History And Literature"
Uncle Drew,2018,103,46.66,42.47,0.91,4.19,0.09,19176,2.7,"Comedy, Crude Humor And Satire, Inspiring Sports Underdog Stories"
Acrimony,2018,120,46.4,43.55,0.94,2.85,0.06,4857,2.5,"Thriller, Drama, Moving Relationship Stories"
Asterix: The Secret of the Magic Potion,2018,85,46.22,1.27,0.03,44.94,0.97,14492,3.2,"Family, Adventure, Animation"
Winchester,2018,100,44.02,25.09,0.57,18.93,0.43,36169,2.2,"Thriller, Horror, The Undead And Monster Classics"
Annihilation,2018,115,43.07,32.73,0.76,10.34,0.24,700546,3.6,"Horror, Science Fiction, Monsters"
The Possession of Hannah Grace,2018,86,43.02,14.84,0.34,28.18,0.66,35576,2.1,"Drama, Horror, The Undead And Monster Classics"
Overlord,2018,110,41.66,21.7,0.52,19.95,0.48,119522,3.2,"Horror, War, Science Fiction"
The Great Battle,2018,135,41.51,0.47,0.01,41.04,0.99,3130,3.3,"History, War, Action"
The Darkest Minds,2018,105,41.14,12.7,0.31,28.45,0.69,49941,2.6,"Drama, Adventure, Action"
Holmes & Watson,2018,90,40.47,30.57,0.76,9.89,0.24,39879,1.6,"Crime, Mystery, Comedy"
Intimate Strangers,2018,115,39.58,0.0,0.0,39.58,1.0,3473,3.5,"Comedy, Drama"
Intimate Strangers,2018,110,39.58,0.0,0.0,39.58,1.0,348,3.1,Drama
Thugs of Hindostan,2018,164,39.57,1.45,0.04,38.12,0.96,3446,2.2,"Action, Adventure, Epic Heroes"
Sink or Swim,2018,122,39.19,0.0,0.0,39.19,1.0,20253,3.6,"Drama, Comedy"
Show Dogs,2018,92,39.16,17.86,0.46,21.3,0.54,4099,1.7,"Family, Crime, Comedy"
Believer,2018,123,39.05,0.37,0.01,38.68,0.99,6285,3.3,"Action, Thriller, Crime"
The Spy Gone North,2018,138,38.84,0.5,0.01,38.34,0.99,6665,3.7,"Drama, Thriller, History"
On the Basis of Sex,2018,120,38.67,24.62,0.64,14.05,0.36,46729,3.4,"Drama, History, Politics And Human Rights"
Taxi 5,2018,102,38.6,0.0,0.0,38.6,1.0,8143,2.0,"Action, Comedy"
Nothing to Lose,2018,130,36.08,1.02,0.03,35.06,0.97,678,2.3,"Drama, History"
Mia and the White Lion,2018,98,35.49,0.4,0.01,35.09,0.99,5257,2.9,"Family, Drama, Adventure"
The Hate U Give,2018,133,34.93,29.72,0.85,5.21,0.15,102028,3.7,"Drama, Crime, Underdogs And Coming Of Age"
Baaghi 2,2018,145,33.14,1.32,0.04,31.82,0.96,2678,2.2,"Mystery, Adventure, Action"
The Hurricane Heist,2018,103,32.52,6.12,0.19,26.4,0.81,12754,2.2,"Crime, Action, Adventure"
All About Me,2018,100,31.92,0.0,0.0,31.92,1.0,5845,3.6,"Comedy, Drama"
Bad Times at the El Royale,2018,141,31.88,17.84,0.56,14.04,0.44,221258,3.5,"Crime, Thriller, Mystery"
Beautiful Boy,2018,119,31.71,7.65,0.24,24.06,0.76,706094,3.9,"Drama, Moving Relationship Stories, Powerful Stories Of Heartbreak And Suffering"
Hunter Killer,2018,121,31.67,15.77,0.5,15.91,0.5,22356,2.8,"Action, Thriller, Adventure"
Super Troopers 2,2018,100,31.63,30.62,0.97,1.01,0.03,16284,2.7,"Crime, Comedy, Mystery"
The Strangers: Prey at Night,2018,86,31.04,24.59,0.79,6.45,0.21,89350,2.7,"Horror, Thriller, The Undead And Monster Classics"
Clergy,2018,133,30.11,0.0,0.0,30.11,1.0,2773,3.5,Drama
Ice,2018,118,29.81,0.0,0.0,29.81,1.0,1805,3.1,"Comedy, Romance, Drama"
Free Solo,2018,100,29.39,17.54,0.6,11.85,0.4,163399,4.0,"Adventure, Documentary, Moving Relationship Stories"
Dark Figure of Crime,2018,111,29.18,0.0,0.0,29.18,1.0,2504,3.4,"Crime, Drama"
Pad Man,2018,140,29.05,1.67,0.06,27.37,0.94,9463,3.5,"Comedy, Drama, Moving Relationship Stories"
Mirai,2018,98,28.76,0.81,0.03,27.94,0.97,45076,3.6,"Fantasy, Drama, Animation"
Default,2018,114,27.69,0.2,0.01,27.49,0.99,1614,3.2,"Drama, History"
The Happytime Murders,2018,91,27.51,20.71,0.75,6.8,0.25,32537,2.2,"Comedy, Action, Crime"
Midnight Sun,2018,91,27.37,9.56,0.35,17.8,0.65,58673,2.5,"Romance, Drama, Moving Relationship Stories"
Badhaai Ho,2018,125,26.13,0.0,0.0,26.13,1.0,8482,3.5,"Romance, Comedy, Drama"
Hichki,2018,116,26.06,0.33,0.01,25.72,0.99,5842,3.5,"Drama, Comedy, Underdogs And Coming Of Age"
Champions,2018,124,25.96,0.0,0.0,25.96,1.0,15567,3.3,"Family, Comedy, Drama"
White Boy Rick,2018,111,25.96,24.01,0.92,1.95,0.08,45297,3.1,"Crime, Drama, Drugs And Gangsters"
"Paul, Apostle of Christ",2018,108,25.92,17.56,0.68,8.36,0.32,2972,3.2,"Drama, Faith And Religion, Religious Faith"
Keys to the Heart,2018,120,25.38,0.08,0.0,25.3,1.0,1719,3.4,"Drama, Comedy"
Stan & Ollie,2018,98,24.42,5.47,0.22,18.95,0.78,29016,3.5,"Comedy, Drama, Crude Humor And Satire"
The Accidental Detective 2: In Action,2018,116,24.24,0.18,0.01,24.06,0.99,1306,3.2,"Crime, Comedy"
Killing for the Prosecution,2018,124,23.93,0.0,0.0,23.93,1.0,455,3.2,"Thriller, Crime, Mystery"
Pokémon the Movie: The Power of Us,2018,98,23.74,0.79,0.03,22.95,0.97,7302,3.1,"Adventure, Animation, Fantasy"
The Crimes That Bind,2018,119,23.14,0.0,0.0,23.14,1.0,686,3.4,"Thriller, Mystery, Crime"
Padmaavat,2018,163,22.99,11.85,0.52,11.14,0.48,15313,3.3,"History, Romance, Drama"
Europe Raiders,2018,101,22.44,0.0,0.0,22.44,1.0,235,2.8,"Action, Thriller, Adventure"
Mojin: The Worm Valley,2018,110,22.38,0.1,0.0,22.28,1.0,265,2.9,"Adventure, Fantasy, Action"
Stree,2018,128,22.08,0.0,0.0,22.08,1.0,15239,3.3,"Horror, Comedy, The Undead And Monster Classics"
Avengers: Endgame,2019,181,2799.44,858.37,0.31,1941.07,0.69,2119542,3.9,"Science Fiction, Action, Adventure"
The Lion King,2019,118,1656.94,543.64,0.33,1113.31,0.67,431407,2.8,"Drama, Family, Adventure"
Frozen II,2019,103,1450.03,477.37,0.33,972.65,0.67,539829,3.1,"Comedy, Family, Animation"
Captain Marvel,2019,124,1128.27,426.83,0.38,701.44,0.62,1118896,2.7,"Science Fiction, Action, Adventure"
Joker,2019,122,1078.75,335.45,0.31,743.3,0.69,3064771,3.8,"Crime, Drama, Thriller"
Toy Story 4,2019,100,1073.39,434.04,0.4,639.36,0.6,809815,3.4,"Adventure, Comedy, Fantasy"
Aladdin,2019,127,1050.69,355.56,0.34,695.13,0.66,437804,3.0,"Fantasy, Family, Romance"
Jumanji: The Next Level,2019,123,801.69,320.31,0.4,481.38,0.6,367028,2.9,"Adventure, Fantasy, Comedy"
Fast & Furious Presents: Hobbs & Shaw,2019,137,760.73,173.96,0.23,586.78,0.77,224910,2.7,"Adventure, Comedy, Action"
Ne Zha,2019,110,726.06,3.7,0.0,722.37,1.0,7304,3.5,"Animation, Adventure, Fantasy"
The Wandering Earth,2019,126,699.86,5.97,0.01,693.89,0.99,20950,2.8,"Action, Drama, Science Fiction"
How to Train Your Dragon: The Hidden World,2019,104,521.8,160.8,0.31,361.0,0.69,335263,3.7,"Animation, Adventure, Family"
Maleficent: Mistress of Evil,2019,119,491.73,113.93,0.23,377.8,0.77,177005,2.9,"Action, Adventure, Fantasy"
It Chapter Two,2019,169,473.09,211.59,0.45,261.5,0.55,820260,2.9,"Fantasy, Drama, Horror"
"My People, My Country",2019,154,450.06,2.36,0.0,447.71,1.0,839,3.0,"History, Drama"
The Secret Life of Pets 2,2019,86,431.16,158.98,0.37,272.18,0.63,86760,2.6,"Adventure, Animation, Comedy"
The Captain,2019,111,417.28,0.71,0.0,416.58,1.0,1134,2.9,"Family, Thriller, Action"
Alita: Battle Angel,2019,122,404.98,85.84,0.21,319.14,0.79,303951,3.2,"Adventure, Science Fiction, Action"
Godzilla: King of the Monsters,2019,132,387.3,110.5,0.28,276.8,0.72,318654,2.8,"Science Fiction, Action, Epic Heroes"
1917,2019,119,384.58,159.23,0.41,225.35,0.59,1310621,4.1,"History, Thriller, Drama"
Shazam!,2019,132,365.97,140.37,0.38,225.6,0.62,592224,3.1,"Action, Comedy, Fantasy"
Dumbo,2019,112,353.28,114.77,0.32,238.52,0.68,120511,2.6,"Fantasy, Family, Adventure"
Crazy Alien,2019,116,327.6,0.0,0.0,327.6,1.0,669,3.0,"Science Fiction, Comedy"
Knives Out,2019,131,312.9,165.36,0.53,147.53,0.47,2583937,4.0,"Mystery, Comedy, Crime"
Terminator: Dark Fate,2019,128,261.12,62.25,0.24,198.87,0.76,139022,2.6,"Adventure, Science Fiction, Action"
Parasite,2019,133,258.13,53.37,0.21,204.76,0.79,3233120,4.6,"Comedy, Thriller, Drama"
Us,2019,116,256.02,175.08,0.68,80.94,0.32,1486294,3.7,"Thriller, Horror, The Undead And Monster Classics"
Pegasus,2019,98,255.86,0.0,0.0,255.86,1.0,1041,3.0,"Action, Comedy"
Men in Black: International,2019,115,253.89,80.0,0.32,173.89,0.68,164453,2.2,"Science Fiction, Comedy, Action"
Glass,2019,129,247.0,111.05,0.45,135.95,0.55,399342,2.9,"Science Fiction, Drama, Thriller"
The Bravest,2019,118,245.18,0.29,0.0,244.89,1.0,678,3.0,"Action, Drama"
Annabelle Comes Home,2019,106,231.25,74.15,0.32,157.1,0.68,168650,2.5,"Horror, The Undead And Monster Classics, Terrifying"
Better Days,2019,135,225.83,1.92,0.01,223.91,0.99,59531,4.0,"Thriller, Romance, Drama"
Ford v Ferrari,2019,153,225.51,117.62,0.52,107.88,0.48,641185,4.0,"Drama, Action, History"
Little Women,2019,135,218.84,108.1,0.49,110.74,0.51,1674110,4.2,"Romance, History, Drama"
The Addams Family,2019,87,203.04,100.04,0.49,103.0,0.51,86270,2.6,"Family, Fantasy, Comedy"
Rocketman,2019,121,195.32,96.37,0.49,98.95,0.51,468211,3.7,"Music, Drama, Song And Dance"
Downton Abbey,2019,122,194.69,96.85,0.5,97.84,0.5,43908,3.5,"Drama, History, Romance"
The Lego Movie 2: The Second Part,2019,107,192.31,105.81,0.55,86.5,0.45,197670,3.1,"Adventure, Action, Family"
Weathering with You,2019,112,192.01,8.06,0.04,183.95,0.96,179777,3.7,"Fantasy, Animation, Romance"
Sheep Without a Shepherd,2019,112,191.6,0.0,0.0,191.6,1.0,1135,3.3,"Crime, Drama"
The White Storm 2: Drug Lords,2019,100,189.4,0.61,0.0,188.79,1.0,1120,3.0,"Drama, Action, Thriller"
Abominable,2019,97,188.62,60.72,0.32,127.91,0.68,44120,3.2,"Comedy, Animation, Family"
Ip Man 4: The Finale,2019,107,176.35,3.96,0.02,172.39,0.98,27400,3.2,"History, Drama, Action"
Gemini Man,2019,117,173.47,48.55,0.28,124.92,0.72,105788,2.4,"Action, Science Fiction, Thriller"
Spies in Disguise,2019,102,171.62,66.76,0.39,104.86,0.61,74553,3.0,"Adventure, Animation, Action"
Hustlers,2019,110,157.56,104.96,0.67,52.6,0.33,258954,3.3,"Comedy, Crime, Drama"
The Climbers,2019,125,156.89,0.49,0.0,156.41,1.0,605,2.8,"Action, Adventure, History"
Escape Room,2019,100,155.71,57.01,0.37,98.71,0.63,221479,2.8,"Mystery, Thriller, Horror"
Yesterday,2019,116,154.61,73.29,0.47,81.32,0.53,366291,2.9,"Comedy, Fantasy, Romance"
The Angry Birds Movie 2,2019,97,147.79,41.67,0.28,106.12,0.72,46481,2.6,"Action, Adventure, Animation"
Angel Has Fallen,2019,122,146.66,69.03,0.47,77.63,0.53,55529,2.7,"Action, Thriller, High Speed And Special Ops"
Ad Astra,2019,123,127.46,50.19,0.39,77.27,0.61,352302,3.4,"Drama, Science Fiction, Monsters"
Midway,2019,138,127.39,56.85,0.45,70.54,0.55,52693,2.8,"Action, History, War"
Last Christmas,2019,102,123.45,35.15,0.28,88.3,0.72,122054,2.8,"Comedy, Romance, Relationship Comedy"
The Curse of La Llorona,2019,93,123.23,54.73,0.44,68.5,0.56,102603,1.9,"Horror, The Undead And Monster Classics, Terrifying"
Looking Up,2019,147,122.99,0.08,0.0,122.91,1.0,355,3.1,"Family, Drama"
Zombieland: Double Tap,2019,99,122.81,73.12,0.6,49.69,0.4,356915,3.0,"Horror, Comedy, Crude Humor And Satire"
Dora and the Lost City of Gold,2019,102,120.6,60.48,0.5,60.12,0.5,59049,2.6,"Comedy, Fantasy, Family"
Extreme Job,2019,111,119.93,1.57,0.01,118.37,0.99,23063,3.6,"Comedy, Action, Crime"
Wonder Park,2019,86,119.56,45.22,0.38,74.34,0.62,11127,2.4,"Animation, Fantasy, Adventure"
P Storm,2019,96,117.99,0.33,0.0,117.67,1.0,325,3.0,"Action, Crime"
The Gentlemen,2019,113,115.17,36.47,0.32,78.7,0.68,431375,3.7,"Crime, Comedy, Action"
Pet Sematary,2019,100,113.12,54.72,0.48,58.39,0.52,165187,2.3,"Horror, Thriller, The Undead And Monster Classics"
Good Boys,2019,89,111.17,83.14,0.75,28.03,0.25,180365,3.1,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age"
Scary Stories to Tell in the Dark,2019,108,104.55,68.95,0.66,35.6,0.34,197322,2.8,"Horror, Thriller, The Undead And Monster Classics"
Line Walker 2: Invisible Spy,2019,98,99.48,0.3,0.0,99.19,1.0,484,3.1,"Action, Crime, Thriller"
The Hustle,2019,94,97.41,35.42,0.36,61.99,0.64,104167,2.5,"Comedy, Crime, Crude Humor And Satire"
The New King of Comedy,2019,91,95.62,0.0,0.0,95.62,1.0,1283,3.1,Comedy
Adoring,2019,108,94.98,0.0,0.0,94.98,1.0,260,3.2,"Drama, Family"
Five Feet Apart,2019,116,92.55,45.73,0.49,46.82,0.51,236304,3.2,"Drama, Romance, Moving Relationship Stories"
Crawl,2019,87,91.54,39.01,0.43,52.53,0.57,153126,2.9,"Thriller, Horror, The Undead And Monster Classics"
Rambo: Last Blood,2019,89,91.49,44.82,0.49,46.67,0.51,68100,2.5,"Action, Thriller, Drama"
Jojo Rabbit,2019,108,90.34,33.37,0.37,56.96,0.63,1524453,4.0,"War, Drama, Comedy"
Serial (Bad) Weddings 2,2019,99,87.76,0.0,0.0,87.76,1.0,12540,2.6,Comedy
One Piece: Stampede,2019,101,81.56,1.3,0.02,80.26,0.98,22443,3.6,"Family, Animation, Fantasy"
Cold Pursuit,2019,119,76.42,32.14,0.42,44.28,0.58,41778,2.8,"Action, Thriller, Crime"
Cats,2019,110,75.56,27.17,0.36,48.39,0.64,144580,1.3,"Comedy, Drama, Fantasy"
A Madea Family Funeral,2019,104,74.75,73.26,0.98,1.49,0.02,5585,2.4,"Comedy, Crude Humor And Satire, Gags"
Doctor Sleep,2019,152,72.38,31.58,0.44,40.8,0.56,365095,3.4,"Horror, Fantasy, Thriller"
What Men Want,2019,117,72.22,54.61,0.76,17.6,0.24,38840,2.4,"Romance, Comedy, Crude Humor And Satire"
After,2019,106,69.5,12.14,0.18,57.36,0.82,174314,1.6,"Drama, Romance, Moving Relationship Stories"
Playing with Fire,2019,96,69.41,44.45,0.64,24.96,0.36,15193,2.2,"Family, Comedy, Crude Humor And Satire"
A Beautiful Day in the Neighborhood,2019,109,67.93,61.7,0.91,6.22,0.09,129284,3.6,"History, Drama, Moving Relationship Stories"
War,2019,152,67.18,4.65,0.07,62.53,0.93,11461,3.0,"Adventure, Action, Thriller"
Happy Death Day 2U,2019,100,64.6,28.15,0.44,36.45,0.56,177392,2.7,"Comedy, Horror, Science Fiction"
White Snake,2019,99,62.1,0.03,0.0,62.06,1.0,5080,3.3,"Fantasy, Romance, Animation"
Bombshell,2019,109,61.4,31.76,0.52,29.64,0.48,172623,3.1,"Drama, Politics And Human Rights, Riveting Political And Presidential Drama"
Ashfall,2019,128,61.35,0.37,0.01,60.98,0.99,6772,3.0,"Adventure, Action, Thriller"
Ma,2019,99,61.22,45.9,0.75,15.32,0.25,196569,2.5,"Thriller, Horror, Intense Violence And Sexual Transgression"
My Best Summer,2019,110,60.01,0.0,0.0,60.01,1.0,1095,3.2,"Romance, Drama"
Ready or Not,2019,95,57.62,28.71,0.5,28.9,0.5,651359,3.5,"Comedy, Horror, The Undead And Monster Classics"
Jade Dynasty,2019,101,57.15,0.0,0.0,57.15,1.0,422,2.9,"Fantasy, Drama, Romance"
The Perfect Secret,2019,111,56.57,0.0,0.0,56.57,1.0,10917,2.5,"Drama, Comedy"
Hellboy,2019,120,55.06,21.9,0.4,33.16,0.6,94877,2.0,"Action, Fantasy, Adventure"
Les Misérables,2019,104,54.61,0.33,0.01,54.28,0.99,60375,3.8,"Thriller, Crime, Drama"
Long Shot,2019,125,53.87,30.32,0.56,23.56,0.44,144496,3.2,"Romance, Comedy, Crude Humor And Satire"
Just Mercy,2019,137,50.9,36.0,0.71,14.9,0.29,90277,3.8,"Drama, History, Crime"
Son of a Rich,2019,109,50.8,0.0,0.0,50.8,1.0,2765,2.9,Comedy
Kingdom,2019,133,50.57,0.0,0.0,50.57,1.0,4815,3.4,"History, War, Adventure"
Breakthrough,2019,116,50.44,40.71,0.81,9.73,0.19,9479,2.6,"Drama, Faith And Religion, Moving Relationship Stories"
Uncut Gems,2019,136,50.02,50.02,1.0,0.0,0.0,1156127,4.0,"Thriller, Drama, Crime"
21 Bridges,2019,99,49.94,28.54,0.57,21.4,0.43,62088,3.0,"Crime, Action, Drama"
The Grudge,2019,93,49.51,21.22,0.43,28.29,0.57,49602,1.7,"Horror, Mystery, The Undead And Monster Classics"
Little,2019,108,48.99,40.86,0.83,8.13,0.17,22672,2.5,"Comedy, Romance, Fantasy"
The Legend of Hei,2019,102,48.51,0.0,0.0,48.51,1.0,6787,3.8,"Animation, Action, Fantasy"
Countdown,2019,90,48.02,25.62,0.53,22.4,0.47,91882,1.9,"Thriller, Horror, The Undead And Monster Classics"
Midsommar,2019,147,47.88,27.43,0.57,20.45,0.43,2420557,3.8,"Mystery, Drama, Horror"
Queen & Slim,2019,131,47.83,43.81,0.92,4.03,0.08,77094,3.7,"Drama, Romance, Crime"
47 Meters Down: Uncaged,2019,90,47.58,22.26,0.47,25.32,0.53,57560,2.1,"Horror, The Undead And Monster Classics, Sci-Fi Horror"
Chasing the Dragon II: Wild Wild Bunch,2019,103,45.73,0.2,0.0,45.54,1.0,389,3.0,"Thriller, Action, Crime"
Judy,2019,118,45.7,24.31,0.53,21.39,0.47,62665,3.2,"History, Drama, Music"
Richard Jewell,2019,131,44.65,22.35,0.5,22.3,0.5,99614,3.6,"Drama, Politics And Human Rights, Intense Political And Terrorist Thrillers"
Harriet,2019,125,43.35,43.08,0.99,0.26,0.01,38671,3.3,"History, Drama, Politics And Human Rights"
A Shaun the Sheep Movie: Farmageddon,2019,87,43.1,0.0,0.0,43.1,1.0,27806,3.3,"Animation, Adventure, Family"
Fighting with My Family,2019,108,41.5,22.96,0.55,18.54,0.45,113678,3.4,"Comedy, Crude Humor And Satire, Underdog Fighting And Boxing Stories"
Masquerade Hotel,2019,133,40.4,0.0,0.0,40.4,1.0,1232,3.2,"Mystery, Crime"
The Last Wish,2019,107,39.76,0.0,0.0,39.76,1.0,223,3.1,"Comedy, Drama"
Uri: The Surgical Strike,2019,138,39.35,4.19,0.11,35.16,0.89,7981,3.3,"War, Action, Drama"
Overcomer,2019,119,38.03,34.75,0.91,3.28,0.09,3099,2.7,"Drama, Faith And Religion, Underdogs And Coming Of Age"
Pain and Glory,2019,114,37.36,4.57,0.12,32.79,0.88,139559,4.1,"Drama, Moving Relationship Stories, Humanity And The World Around Us"
A Witness Out of the Blue,2019,104,37.09,0.0,0.0,37.09,1.0,428,3.2,"Crime, Thriller, Mystery"
The Intruder,2019,102,36.6,35.42,0.97,1.18,0.03,14512,2.4,"Thriller, Horror, The Undead And Monster Classics"
The Battle: Roar to Victory,2019,135,34.15,0.0,0.0,34.15,1.0,1086,3.2,"War, History, Action"
The Bad Guys: The Movie,2019,114,34.02,0.17,0.0,33.86,1.0,2143,2.9,"Crime, Action"
The Good Liar,2019,109,33.86,17.16,0.51,16.7,0.49,32811,3.1,"Crime, Intense Violence And Sexual Transgression, Twisted Dark Psychological Thriller"
The Art of Racing in the Rain,2019,109,33.77,26.4,0.78,7.37,0.22,34466,3.5,"Romance, Drama, Moving Relationship Stories"
Brightburn,2019,91,33.22,17.3,0.52,15.92,0.48,147250,2.6,"Thriller, Horror, Science Fiction"
Bharat,2019,155,33.19,2.97,0.09,30.21,0.91,3041,2.4,"Action, Drama, Relationship Comedy"
UglyDolls,2019,88,32.45,20.15,0.62,12.3,0.38,11857,2.2,"Animation, Comedy, Music"
Stuber,2019,93,32.39,22.37,0.69,10.02,0.31,43913,2.7,"Action, Comedy, Crude Humor And Satire"
The Kid Who Would Be King,2019,120,32.14,16.79,0.52,15.35,0.48,26076,2.9,"Adventure, Family, Action"
Anna,2019,119,31.63,7.74,0.24,23.88,0.76,75451,2.9,"Action, Adventure, Thriller"
The Wild Goose Lake,2019,113,31.06,0.01,0.0,31.05,1.0,19421,3.6,"Thriller, Crime, Drama"
My Hero Academia: Heroes Rising,2019,104,29.97,13.3,0.44,16.67,0.56,31528,3.5,"Fantasy, Adventure, Action"
Gully Boy,2019,156,28.3,5.57,0.2,22.73,0.8,16596,3.7,"Music, Drama, Song And Dance"
Almost a Comedy,2019,111,26.99,0.0,0.0,26.99,1.0,318,3.2,"Comedy, Romance"
Total Dhamaal,2019,127,26.91,2.17,0.08,24.74,0.92,2266,2.3,"Comedy, Adventure, Crude Humor And Satire"
Missing Link,2019,95,26.57,16.65,0.63,9.92,0.37,57709,3.2,"Animation, Comedy, Adventure"
"The Gangster, the Cop, the Devil",2019,110,25.78,0.22,0.01,25.56,0.99,39440,3.5,"Thriller, Crime, Action"
Bodies at Rest,2019,93,25.29,0.0,0.0,25.29,1.0,593,3.0,"Mystery, Thriller, Crime"
Booksmart,2019,102,24.96,22.68,0.91,2.28,0.09,712038,3.7,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age"
Super 30,2019,153,24.7,2.27,0.09,22.43,0.91,7192,3.4,"Drama, Humanity And The World Around Us, Bollywood Emotional Dramas"
Skyfire,2019,93,24.44,0.0,0.0,24.44,1.0,2583,2.5,"Action, Adventure, Epic Heroes"
Start-Up,2019,102,24.11,0.0,0.0,24.11,1.0,2179,3.1,"Drama, Action, Comedy"
Pinocchio,2019,124,23.84,1.83,0.08,22.01,0.92,20664,2.9,"Drama, Family, Fantasy"
A Rainy Day in New York,2019,92,23.81,0.0,0.0,23.81,1.0,142357,2.6,"Comedy, Romance, Relationship Comedy"
The Peanut Butter Falcon,2019,97,23.71,20.46,0.86,3.25,0.14,222197,3.8,"Drama, Adventure, Comedy"
Little White Lies 2,2019,134,23.62,0.0,0.0,23.62,1.0,7092,3.3,"Romance, Comedy, Drama"
Only Cloud Knows,2019,132,23.41,0.0,0.0,23.41,1.0,261,3.2,"Drama, Romance"
Dark Waters,2019,127,23.11,11.14,0.48,11.97,0.52,132726,3.8,"Thriller, Drama, Politics And Human Rights"
