title,year,number_ratings,average_rating,length,genres
The Killing of a Sacred Deer,2017,"Weighted average of 3.73 based on 602,436 ratings",3.7,121 mins   More at IMDB TMDB,"Thriller, Mystery, Drama, Intense Violence And Sexual Transgression, Horror, The Undead And Monster Classics, Twisted Dark Psychological Thriller, Terrifying, Haunted, And Supernatural Horror, Gothic And Eerie Haunting Horror, Gripping, Intense Violent Crime, Creepy, Chilling, And Terrifying Horror, Show All…"
mother!,2017,"Weighted average of 3.48 based on 635,897 ratings",3.5,121 mins   More at IMDB TMDB,"Drama, Horror, Thriller, Intense Violence And Sexual Transgression, Humanity And The World Around Us, Faith And Religion, Horror, The Undead And Monster Classics, Surreal And Thought-Provoking Visions Of Life And Death, Challenging Or Sexual Themes & Twists, Twisted Dark Psychological Thriller, Dreamlike, Quirky, And Surreal Storytelling, Faith And Spiritual Journeys, Show All…"
Wonder Woman,2017,"Weighted average of 3.26 based on 867,491 ratings",3.3,141 mins   More at IMDB TMDB,"Action, Fantasy, Adventure, Epic Heroes, High Speed And Special Ops, War And Historical Adventure, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Historical Battles And Epic Heroism, Intense Combat And Martial Arts, Military Combat And Heroic Soldiers, Show All…"
John Wick: Chapter 2,2017,"Weighted average of 3.70 based on 748,529 ratings",3.7,122 mins   More at IMDB TMDB,"Crime, Action, Thriller, Crime, Drugs And Gangsters, Epic Heroes, High Speed And Special Ops, Violent Action, Guns, And Crime, Explosive And Action-Packed Heroes Vs. Villains, Gritty Crime And Ruthless Gangsters, Adrenaline-Fueled Action And Fast Cars, Intense Combat And Martial Arts, Show All…"
Good Time,2017,"Weighted average of 4.00 based on 550,747 ratings",4.0,102 mins   More at IMDB TMDB,"Thriller, Crime, Crime, Drugs And Gangsters, Heists And Thrilling Action, Violent Crime And Drugs, Twisted Dark Psychological Thriller, Noir And Dark Crime Dramas, Show All…"
"Three Billboards Outside Ebbing, Missouri",2017,"Weighted average of 4.04 based on 634,983 ratings",4.0,115 mins   More at IMDB TMDB,"Crime, Drama, Moving Relationship Stories, Crude Humor And Satire, Intense Violence And Sexual Transgression, Humanity And The World Around Us, Thrillers And Murder Mysteries, Gripping, Intense Violent Crime, Suspenseful Crime Thrillers, Powerful Stories Of Heartbreak And Suffering, Violent Crime And Drugs, Intriguing And Suspenseful Murder Mysteries, Show All…"
The Greatest Showman,2017,"Weighted average of 3.41 based on 676,244 ratings",3.4,105 mins   More at IMDB TMDB,"Drama, Song And Dance, Dazzling Vocal Performances And Musicals, Dance Rhythms And Catchy Tunes, Emotional Life Of Renowned Artists, Touching And Sentimental Family Stories, Emotional And Touching Family Dramas, Show All…"
Phantom Thread,2017,"Weighted average of 4.14 based on 415,919 ratings",4.1,130 mins   More at IMDB TMDB,"Drama, Romance, Humanity And The World Around Us, Moving Relationship Stories, Captivating Relationships And Charming Romance, Passion And Romance, Charming Romances And Delightful Chemistry, Emotional And Captivating Fantasy Storytelling, Surreal And Thought-Provoking Visions Of Life And Death, Show All…"
The Lego Batman Movie,2017,"Weighted average of 3.85 based on 553,817 ratings",3.9,104 mins   More at IMDB TMDB,"Comedy, Animation, Family, Action, Crude Humor And Satire, Epic Heroes, Action Comedy And Silly Heroics, Kids' Animated Fun And Adventure, Gags, Jokes, And Slapstick Humor, Superheroes In Action-Packed Battles With Villains, Amusing Jokes And Witty Satire, Show All…"
Jumanji: Welcome to the Jungle,2017,"Weighted average of 3.08 based on 674,676 ratings",3.1,119 mins   More at IMDB TMDB,"Fantasy, Adventure, Comedy, Crude Humor And Satire, Underdogs And Coming Of Age, Epic Heroes, Teen School Antics And Laughter, Gags, Jokes, And Slapstick Humor, Funny Jokes And Crude Humor, Action Comedy And Silly Heroics, Kids' Animated Fun And Adventure, Show All…"
War for the Planet of the Apes,2017,"Weighted average of 3.80 based on 503,794 ratings",3.8,140 mins   More at IMDB TMDB,"War, Drama, Science Fiction, Epic Heroes, Monsters, Aliens, Sci-Fi And The Apocalypse, Thought-Provoking Sci-Fi Action And Future Technology, Superheroes In Action-Packed Battles With Villains, Epic Adventure And Breathtaking Battles, Military Combat And Heroic Soldiers, Dangerous Technology And The Apocalypse, Show All…"
Paddington 2,2017,"Weighted average of 4.16 based on 399,068 ratings",4.2,104 mins   More at IMDB TMDB,"Family, Adventure, Comedy, Crude Humor And Satire, Kids' Animated Fun And Adventure, Holiday Joy And Heartwarming Christmas, Adorable Animals And Heartwarming Families, Fairy-Tale Fantasy And Enchanted Magic, Amusing Jokes And Witty Satire, Show All…"
Okja,2017,"Weighted average of 3.70 based on 376,305 ratings",3.7,122 mins   More at IMDB TMDB,"Drama, Science Fiction, Adventure, Moving Relationship Stories, Humanity And The World Around Us, Adorable Animals And Heartwarming Families, Surreal And Thought-Provoking Visions Of Life And Death, Powerful Stories Of Heartbreak And Suffering, Emotional And Touching Family Dramas, Humanity'S Odyssey: Earth And Beyond, Show All…"
Kingsman: The Golden Circle,2017,"Weighted average of 3.14 based on 509,734 ratings",3.1,141 mins   More at IMDB TMDB,"Adventure, Action, Comedy, High Speed And Special Ops, Crude Humor And Satire, Epic Heroes, Action Comedy And Silly Heroics, Explosive And Action-Packed Heroes Vs. Villains, Superheroes In Action-Packed Battles With Villains, Adrenaline-Fueled Action And Fast Cars, Exciting Spy Thrillers With Tense Intrigue, Show All…"
A Ghost Story,2017,"Weighted average of 3.77 based on 276,481 ratings",3.8,93 mins   More at IMDB TMDB,"Fantasy, Drama, Moving Relationship Stories, Humanity And The World Around Us, Surreal And Thought-Provoking Visions Of Life And Death, Powerful Stories Of Heartbreak And Suffering, Touching And Sentimental Family Stories, Heartbreaking And Moving Family Drama, Tragic Sadness And Captivating Beauty, Show All…"
Beauty and the Beast,2017,"Weighted average of 3.10 based on 495,549 ratings",3.1,129 mins   More at IMDB TMDB,"Romance, Fantasy, Family, Song And Dance, Dazzling Vocal Performances And Musicals, Fairy-Tale Fantasy And Enchanted Magic, Captivating Relationships And Charming Romance, Holiday Joy And Heartwarming Christmas, Emotional And Captivating Fantasy Storytelling, Show All…"
