title,year,number_ratings,average_rating,length,genres
Spider-Man: Into the Spider-Verse,2018,"Weighted average of 4.42 based on 2,764,289 ratings",4.4,117 mins   More at IMDB TMDB,"Adventure, Animation, Science Fiction, Action, Epic Heroes, Crude Humor And Satire, Kids' Animated Fun And Adventure, Emotional And Captivating Fantasy Storytelling, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Teen School Antics And Laughter, Show All…"
Avengers: Infinity War,2018,"Weighted average of 3.97 based on 2,174,852 ratings",4.0,149 mins   More at IMDB TMDB,"Action, Science Fiction, Adventure, Epic Heroes, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Action Comedy And Silly Heroics, Action-Packed Space And Alien Sagas, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
Hereditary,2018,"Weighted average of 3.96 based on 1,722,359 ratings",4.0,128 mins   More at IMDB TMDB,"Thriller, Horror, Mystery, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Gothic And Eerie Haunting Horror, Gory, Gruesome, And Slasher Horror, Creepy, Chilling, And Terrifying Horror, Show All…"
Black Panther,2018,"Weighted average of 3.65 based on 1,875,107 ratings",3.7,135 mins   More at IMDB TMDB,"Adventure, Science Fiction, Action, Epic Heroes, High Speed And Special Ops, Superheroes In Action-Packed Battles With Villains, Racism And The Powerful Fight For Justice, Fantasy Adventure, Heroism, And Swordplay, Epic Adventure And Breathtaking Battles, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
A Quiet Place,2018,"Weighted average of 3.65 based on 1,392,279 ratings",3.6,91 mins   More at IMDB TMDB,"Drama, Science Fiction, Horror, Monsters, Aliens, Sci-Fi And The Apocalypse, Horror, The Undead And Monster Classics, Sci-Fi Horror, Creatures, And Aliens, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Twisted Dark Psychological Thriller, Chilling Experiments And Classic Monster Horror, Show All…"
Bohemian Rhapsody,2018,"Weighted average of 3.44 based on 1,225,300 ratings",3.4,135 mins   More at IMDB TMDB,"Drama, Music, Moving Relationship Stories, Song And Dance, Humanity And The World Around Us, Emotional Life Of Renowned Artists, Legendary Musicians And Stardom, Emotional LGBTQ Relationships, Dazzling Vocal Performances And Musicals, Powerful Stories Of Heartbreak And Suffering, Show All…"
Deadpool 2,2018,"Weighted average of 3.49 based on 1,188,409 ratings",3.5,120 mins   More at IMDB TMDB,"Action, Comedy, Adventure, Crude Humor And Satire, Epic Heroes, Action Comedy And Silly Heroics, Funny Jokes And Crude Humor, Gags, Jokes, And Slapstick Humor, Superheroes In Action-Packed Battles With Villains, Amusing Jokes And Witty Satire, Show All…"
Beautiful Boy,2018,"Weighted average of 3.94 based on 706,094 ratings",3.9,119 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Powerful Stories Of Heartbreak And Suffering, Emotional And Touching Family Dramas, Heartbreaking And Moving Family Drama, Emotional Teen Coming-Of-Age Stories, Touching And Sentimental Family Stories, Show All…"
The Favourite,2018,"Weighted average of 4.02 based on 718,578 ratings",4.0,120 mins   More at IMDB TMDB,"Thriller, Drama, Comedy, History, Intense Violence And Sexual Transgression, Crude Humor And Satire, Humanity And The World Around Us, Epic History And Literature, Lavish Dramas And Sumptuous Royalty, Challenging Or Sexual Themes & Twists, Funny Jokes And Crude Humor, Captivating Vision And Shakespearean Drama, Dreamlike, Quirky, And Surreal Storytelling, Show All…"
BlacKkKlansman,2018,"Weighted average of 3.95 based on 835,688 ratings",3.9,136 mins   More at IMDB TMDB,"Drama, Comedy, Crime, Politics And Human Rights, Crude Humor And Satire, Racism And The Powerful Fight For Justice, Riveting Political And Presidential Drama, Amusing Jokes And Witty Satire, Funny Jokes And Crude Humor, Politics, Propaganda, And Political Documentaries, Show All…"
Isle of Dogs,2018,"Weighted average of 3.99 based on 712,069 ratings",4.0,101 mins   More at IMDB TMDB,"Comedy, Animation, Adventure, Humanity And The World Around Us, Crude Humor And Satire, Emotional And Captivating Fantasy Storytelling, Adorable Animals And Heartwarming Families, Laugh-Out-Loud Relationship Entanglements, Show All…"
Incredibles 2,2018,"Weighted average of 3.44 based on 972,661 ratings",3.4,118 mins   More at IMDB TMDB,"Animation, Adventure, Family, Action, Epic Heroes, Crude Humor And Satire, Kids' Animated Fun And Adventure, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Adorable Animals And Heartwarming Families, Holiday Joy And Heartwarming Christmas, Show All…"
Venom,2018,"Weighted average of 2.88 based on 895,851 ratings",2.9,112 mins   More at IMDB TMDB,"Science Fiction, Action, Monsters, Aliens, Sci-Fi And The Apocalypse, Crude Humor And Satire, Epic Heroes, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Action-Packed Space And Alien Sagas, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
A Star Is Born,2018,"Weighted average of 3.62 based on 770,071 ratings",3.6,136 mins   More at IMDB TMDB,"Music, Romance, Drama, Moving Relationship Stories, Song And Dance, Emotional Life Of Renowned Artists, Powerful Stories Of Heartbreak And Suffering, Legendary Musicians And Stardom, Touching And Sentimental Family Stories, Dazzling Vocal Performances And Musicals, Show All…"
Annihilation,2018,"Weighted average of 3.57 based on 700,546 ratings",3.6,115 mins   More at IMDB TMDB,"Horror, Science Fiction, Monsters, Aliens, Sci-Fi And The Apocalypse, Horror, The Undead And Monster Classics, Humanity And The World Around Us, Sci-Fi Horror, Creatures, And Aliens, Imaginative Space Odysseys And Alien Encounters, Twisted Dark Psychological Thriller, Thought-Provoking Sci-Fi Action And Future Technology, Action-Packed Space And Alien Sagas, Show All…"
