title,year,number_ratings,average_rating,length,genres
The Passing of a Psychopath,2017,No number of ratings available,No average rating available,80 mins   More at TMDB,"Crime, Horror, Fantasy"
A Hustler’s Diary,2017,Weighted average of 3.35 based on 433 ratings,3.4,97 mins   More at IMDB TMDB,"Comedy, Drama, Crime"
Duel,2017,Weighted average of 3.59 based on 204 ratings,3.6,960 mins   More at IMDB TMDB,"Drama, Crime, Mystery"
Premika,2017,Weighted average of 3.16 based on 220 ratings,3.2,91 mins   More at IMDB TMDB,"Comedy, Horror"
Eureka Seven Hi-Evolution,2017,Weighted average of 3.06 based on 239 ratings,3.1,93 mins   More at IMDB TMDB,"Animation, Adventure, Action, Drama, Science Fiction"
Life is Fruity,2017,Weighted average of 3.67 based on 252 ratings,3.7,91 mins   More at IMDB TMDB,Documentary
Almost Heaven,2017,No number of ratings available,No average rating available,75 mins   More at IMDB TMDB,Documentary
Among Us,2017,No number of ratings available,No average rating available,96 mins   More at IMDB TMDB,Documentary
The Sea Stares at Us from Afar,2017,No number of ratings available,No average rating available,94 mins   More at IMDB TMDB,Documentary
I Believe,2017,Weighted average of 2.69 based on 289 ratings,2.7,89 mins   More at IMDB TMDB,"Family, Drama"
In Times of Fading Light,2017,Weighted average of 3.29 based on 292 ratings,3.3,100 mins   More at IMDB TMDB,"Drama, Comedy"
The Monkey and the Mouth,2017,Weighted average of 3.54 based on 260 ratings,3.5,99 mins   More at IMDB TMDB,Music
The Beksińskis. A Sound and Picture Album,2017,Weighted average of 3.64 based on 277 ratings,3.6,80 mins   More at IMDB TMDB,Documentary
The Precipice Game,2017,Weighted average of 2.86 based on 382 ratings,2.9,90 mins   More at IMDB TMDB,Horror
Pecking Order,2017,Weighted average of 3.48 based on 280 ratings,3.5,90 mins   More at IMDB TMDB,Documentary
Queer Fish Lane,2017,No number of ratings available,No average rating available,80 mins   More at IMDB TMDB,No genres available
Maya Dardel,2017,Weighted average of 3.26 based on 209 ratings,3.3,104 mins   More at IMDB TMDB,Drama
Birds Are Singing in Kigali,2017,No number of ratings available,No average rating available,113 mins   More at IMDB TMDB,Drama
The Garden,2017,Weighted average of 3.34 based on 208 ratings,3.3,97 mins   More at IMDB TMDB,"Comedy, Family, Drama"
Claire l’hiver,2017,No number of ratings available,No average rating available,65 mins   More at IMDB TMDB,Comedy
"João, o Maestro",2017,Weighted average of 3.22 based on 369 ratings,3.2,117 mins   More at IMDB TMDB,Drama
Violeta at Last,2017,Weighted average of 3.44 based on 228 ratings,3.4,87 mins   More at IMDB TMDB,Drama
Anbanavan Asaradhavan Adangadhavan,2017,Weighted average of 2.39 based on 538 ratings,2.4,140 mins   More at IMDB TMDB,"Action, Thriller"
Buddha.mov,2017,Weighted average of 3.30 based on 210 ratings,3.3,70 mins   More at IMDB TMDB,"Drama, Documentary"
Luk’Luk’I,2017,No number of ratings available,No average rating available,90 mins   More at IMDB TMDB,Drama
After the War,2017,No number of ratings available,No average rating available,100 mins   More at IMDB TMDB,Drama
The Body Tree,2017,Weighted average of 2.76 based on 257 ratings,2.8,95 mins   More at IMDB TMDB,"Horror, Thriller"
Also Known as Jihadi,2017,No number of ratings available,No average rating available,102 mins   More at IMDB TMDB,Documentary
Disappearance,2017,No number of ratings available,No average rating available,91 mins   More at IMDB TMDB,Drama
Simulation,2017,Weighted average of 3.09 based on 420 ratings,3.1,84 mins   More at IMDB TMDB,Drama
Forbidden Games: The Justin Fashanu Story,2017,Weighted average of 3.34 based on 253 ratings,3.3,81 mins   More at IMDB TMDB,Documentary
2 + 2 = 22 [The Alphabet],2017,No number of ratings available,No average rating available,88 mins   More at IMDB TMDB,"Music, Documentary"
Thunderbolt Fantasy: The Sword of Life and Death,2017,Weighted average of 3.54 based on 219 ratings,3.5,75 mins   More at IMDB TMDB,"Fantasy, Animation, Action"
Punyalan Private Limited,2017,Weighted average of 3.04 based on 529 ratings,3.0,128 mins   More at IMDB TMDB,Comedy
A Witches’ Ball,2017,Weighted average of 2.75 based on 314 ratings,2.8,90 mins   More at IMDB TMDB,"Family, Science Fiction, Fantasy"
Love at the Shore,2017,Weighted average of 2.95 based on 304 ratings,3.0,90 mins   More at IMDB TMDB,"Romance, Comedy, TV Movie, Family"
Leonora Carrington: The Lost Surrealist,2017,No number of ratings available,No average rating available,60 mins   More at IMDB TMDB,"TV Movie, Documentary"
Red Balloon,2017,No number of ratings available,No average rating available,80 mins   More at IMDB TMDB,Drama
Il premio,2017,Weighted average of 3.05 based on 421 ratings,3.0,100 mins   More at IMDB TMDB,Drama
Today’s Menu for the Emiya Family,2017,Weighted average of 3.61 based on 250 ratings,3.6,169 mins   More at IMDB TMDB,"Comedy, Animation"
West of Sunshine,2017,Weighted average of 3.22 based on 270 ratings,3.2,78 mins   More at IMDB TMDB,Drama
Destination Wedding,2017,No number of ratings available,No average rating available,84 mins   More at IMDB TMDB,"Romance, TV Movie"
Witch’s Court,2017,Weighted average of 3.50 based on 299 ratings,3.5,960 mins   More at IMDB TMDB,"Crime, Drama"
A Trip to the Moon,2017,Weighted average of 3.02 based on 248 ratings,3.0,87 mins   More at IMDB TMDB,Drama
A Yangtze Landscape,2017,No number of ratings available,No average rating available,156 mins   More at IMDB TMDB,Documentary
Valley of the Wolves: Homeland,2017,Weighted average of 2.66 based on 523 ratings,2.7,105 mins   More at IMDB TMDB,"Drama, Action, Crime"
Biswa Kalyan Rath : Biswa Mast Aadmi,2017,Weighted average of 3.57 based on 428 ratings,3.6,60 mins   More at IMDB TMDB,Comedy
Buka’an 8,2017,Weighted average of 3.24 based on 465 ratings,3.2,104 mins   More at IMDB TMDB,"Drama, Comedy"
Breakable You,2017,No number of ratings available,No average rating available,120 mins   More at IMDB TMDB,"Comedy, Drama"
Stalker’s Prey,2017,Weighted average of 2.93 based on 218 ratings,2.9,97 mins   More at IMDB TMDB,"Thriller, TV Movie"
Noise,2017,No number of ratings available,No average rating available,115 mins   More at IMDB TMDB,Drama
A Better Man,2017,No number of ratings available,No average rating available,77 mins   More at IMDB TMDB,Documentary
We Are Gamily,2017,No number of ratings available,No average rating available,129 mins   More at IMDB TMDB,"Comedy, Drama, Romance"
A Closer Walk with Thee,2017,No number of ratings available,No average rating available,90 mins   More at IMDB TMDB,"Horror, Drama"
John G. Avildsen: King of the Underdogs,2017,No number of ratings available,No average rating available,78 mins   More at IMDB TMDB,Documentary
Whindersson Nunes em Proparoxítona,2017,Weighted average of 3.47 based on 525 ratings,3.5,77 mins   More at TMDB,Comedy
City of the Sun,2017,No number of ratings available,No average rating available,104 mins   More at IMDB TMDB,Documentary
Charlie and Hannah’s Grand Night Out,2017,Weighted average of 3.38 based on 254 ratings,3.4,75 mins   More at IMDB TMDB,Comedy
Invasion on Chestnut Ridge,2017,Weighted average of 3.14 based on 212 ratings,3.1,61 mins   More at IMDB TMDB,"Horror, Documentary"
Zagros,2017,Weighted average of 3.46 based on 259 ratings,3.5,102 mins   More at IMDB TMDB,Drama
Ouaga Girls,2017,No number of ratings available,No average rating available,82 mins   More at IMDB TMDB,Documentary
If We Were a Season,2017,Weighted average of 3.31 based on 306 ratings,3.3,67 mins   More at TMDB,"Drama, Romance, TV Movie"
Tater Tot & Patton,2017,Weighted average of 3.41 based on 246 ratings,3.4,91 mins   More at IMDB TMDB,Drama
Emmanuel Macron: Behind the Rise,2017,Weighted average of 3.18 based on 412 ratings,3.2,90 mins   More at IMDB TMDB,Documentary
My Pet Dinosaur,2017,Weighted average of 2.73 based on 295 ratings,2.7,96 mins   More at IMDB TMDB,"Fantasy, Action, Family, Adventure"
Haruta & Chika,2017,No number of ratings available,No average rating available,118 mins   More at IMDB TMDB,"Music, Drama, Romance"
The Stream,2017,Weighted average of 2.92 based on 213 ratings,2.9,75 mins   More at IMDB TMDB,Horror
Os Saltimbancos Trapalhões: Rumo a Hollywood,2017,Weighted average of 3.14 based on 383 ratings,3.1,99 mins   More at IMDB TMDB,"Comedy, Family, Music"
A Subconscious Stream,2017,No number of ratings available,No average rating available,65 mins   More at TMDB,"Fantasy, Documentary"
Campfire Kiss,2017,Weighted average of 2.92 based on 284 ratings,2.9,84 mins   More at IMDB TMDB,"Comedy, Romance, TV Movie"
We Blew It,2017,Weighted average of 3.39 based on 233 ratings,3.4,137 mins   More at IMDB TMDB,Documentary
An American Girl Story - Ivy & Julie 1976: A Happy Balance,2017,No number of ratings available,No average rating available,43 mins   More at IMDB TMDB,"Drama, Family"
Firegate,2017,Weighted average of 2.92 based on 349 ratings,2.9,112 mins   More at IMDB TMDB,"Horror, Adventure"
Burnout,2017,Weighted average of 3.05 based on 235 ratings,3.1,112 mins   More at IMDB TMDB,Drama
Anaarkali of Aarah,2017,Weighted average of 3.34 based on 274 ratings,3.3,113 mins   More at IMDB TMDB,Drama
