title,year,number_ratings,average_rating,length,genres
Silat Warriors: Deed of Death,2019,Weighted average of 3.13 based on 229 ratings,3.1,101 mins   More at IMDB TMDB,"Crime, Drama, Action"
Malaal,2019,Weighted average of 2.95 based on 365 ratings,2.9,136 mins   More at IMDB TMDB,"Drama, Romance"
The Tracker,2019,Weighted average of 2.68 based on 292 ratings,2.7,90 mins   More at IMDB TMDB,Action
Saving Leningrad,2019,Weighted average of 2.98 based on 334 ratings,3.0,96 mins   More at IMDB TMDB,"War, Drama"
Kee,2019,Weighted average of 2.76 based on 573 ratings,2.8,133 mins   More at IMDB TMDB,"Thriller, Action"
Lourdes,2019,Weighted average of 3.45 based on 264 ratings,3.5,95 mins   More at IMDB TMDB,Documentary
ORESUKI Are you the only one who loves me?,2019,Weighted average of 3.29 based on 400 ratings,3.3,288 mins   More at IMDB TMDB,"Animation, Drama, Comedy"
The Wrong Stepmother,2019,Weighted average of 2.72 based on 257 ratings,2.7,86 mins   More at IMDB TMDB,"TV Movie, Thriller"
Guilt,2019,Weighted average of 3.54 based on 265 ratings,3.5,232 mins   More at IMDB TMDB,"Comedy, Crime, Drama, Crude Humor And Satire, Laugh-Out-Loud Relationship Entanglements, Noir And Dark Crime Dramas, Intriguing And Suspenseful Murder Mysteries, Quirky And Endearing Relationships, Show All…"
Felix in Wonderland,2019,No number of ratings available,No average rating available,50 mins   More at IMDB TMDB,Documentary
Breakpoint: A Counter History of Progress,2019,Weighted average of 3.60 based on 209 ratings,3.6,99 mins   More at IMDB TMDB,"History, Documentary"
Texas 2,2019,Weighted average of 1.59 based on 610 ratings,1.6,99 mins   More at IMDB TMDB,Comedy
V1 Murder Case,2019,Weighted average of 3.06 based on 466 ratings,3.1,112 mins   More at IMDB TMDB,"Thriller, Mystery, Crime, Drama"
Párty Hárd,2019,Weighted average of 3.14 based on 439 ratings,3.1,62 mins   More at IMDB TMDB,Comedy
Disclaimer,2019,Weighted average of 2.68 based on 434 ratings,2.7,83 mins   More at IMDB TMDB,"Drama, Comedy"
Random Acts of Christmas,2019,Weighted average of 2.99 based on 229 ratings,3.0,90 mins   More at IMDB TMDB,"Romance, TV Movie"
Suspension Points,2019,Weighted average of 2.98 based on 360 ratings,3.0,100 mins   More at IMDB TMDB,"Comedy, Romance"
Behind the Trees,2019,Weighted average of 2.60 based on 271 ratings,2.6,87 mins   More at IMDB TMDB,"Mystery, Thriller, Horror"
National Theatre Live: Les Blancs,2019,No number of ratings available,No average rating available,149 mins   More at IMDB TMDB,Drama
Christmas with a Prince: Becoming Royal,2019,Weighted average of 2.85 based on 225 ratings,2.9,90 mins   More at IMDB TMDB,"Romance, TV Movie"
The Welles Raft,2019,Weighted average of 3.45 based on 203 ratings,3.5,75 mins   More at IMDB TMDB,Documentary
Skin Walker,2019,Weighted average of 2.91 based on 223 ratings,2.9,89 mins   More at IMDB TMDB,"Thriller, Horror"
