title,year,number_ratings,average_rating,length,genres
Holy Trinity,2019,Weighted average of 3.49 based on 325 ratings,3.5,91 mins   More at IMDB TMDB,Comedy
Trouble,2019,"Weighted average of 2.33 based on 3,488 ratings",2.3,88 mins   More at IMDB TMDB,"Music, Adventure, Animation, Family, Comedy"
The Last Tree,2019,"Weighted average of 3.54 based on 1,858 ratings",3.5,98 mins   More at IMDB TMDB,Drama
The Son,2019,"Weighted average of 2.64 based on 3,890 ratings",2.6,92 mins   More at IMDB TMDB,"Thriller, Intense Violence And Sexual Transgression, Twisted Dark Psychological Thriller, Suspenseful Crime Thrillers, Show All…"
In Family I Trust,2019,"Weighted average of 2.84 based on 3,826 ratings",2.8,94 mins   More at IMDB TMDB,"Comedy, Romance"
"Socorro, Virei uma Garota!",2019,"Weighted average of 2.55 based on 4,052 ratings",2.5,110 mins   More at IMDB TMDB,"Comedy, Fantasy"
Overcomer,2019,"Weighted average of 2.65 based on 3,099 ratings",2.7,119 mins   More at IMDB TMDB,"Drama, Faith And Religion, Underdogs And Coming Of Age, Religious Faith, Sin, And Forgiveness, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Inspiring Sports Underdog Stories, Faith And Spiritual Journeys, Show All…"
Kesari,2019,"Weighted average of 3.20 based on 3,997 ratings",3.2,151 mins   More at IMDB TMDB,"Drama, War, Action, History, Epic History And Literature, Epic Heroes, Historical Battles And Epic Heroism, Military Combat And Heroic Soldiers, Bollywood Emotional Dramas, Political Drama, Patriotism, And War, Show All…"
The Yellow Night,2019,"Weighted average of 3.10 based on 1,512 ratings",3.1,100 mins   More at IMDB TMDB,"Thriller, Horror"
Kuessipan,2019,"Weighted average of 3.76 based on 1,967 ratings",3.8,117 mins   More at IMDB TMDB,Drama
The Girl and The Gun,2019,"Weighted average of 3.23 based on 2,885 ratings",3.2,80 mins   More at IMDB TMDB,"Crime, Thriller, Action"
Dear Comrade,2019,"Weighted average of 3.12 based on 4,270 ratings",3.1,122 mins   More at IMDB TMDB,"Romance, Action, Drama, Moving Relationship Stories, Bollywood Emotional Dramas, Show All…"
Angel’s Last Mission: Love,2019,"Weighted average of 3.65 based on 3,261 ratings",3.7,"1,024 mins   More at IMDB TMDB","Comedy, Drama, Moving Relationship Stories, Captivating Relationships And Charming Romance, Show All…"
Woman,2019,"Weighted average of 4.04 based on 1,728 ratings",4.0,104 mins   More at IMDB TMDB,Documentary
Dream Girl,2019,"Weighted average of 2.98 based on 4,305 ratings",3.0,142 mins   More at IMDB TMDB,"Romance, Comedy, Crude Humor And Satire, Relationship Comedy, Gags, Jokes, And Slapstick Humor, Laugh-Out-Loud Relationship Entanglements, Funny Jokes And Crude Humor, Amusing Jokes And Witty Satire, Catchy Songs And Hilarious Musical Comedy, Show All…"
Tales of the City,2019,"Weighted average of 3.66 based on 1,904 ratings",3.7,600 mins   More at IMDB TMDB,"Drama, Mystery, Relationship Comedy, Emotional LGBTQ Relationships, Show All…"
How High 2,2019,"Weighted average of 2.25 based on 2,957 ratings",2.3,89 mins   More at IMDB TMDB,"Comedy, TV Movie"
Get In,2019,"Weighted average of 2.71 based on 3,352 ratings",2.7,97 mins   More at IMDB TMDB,Thriller
"Ken Jeong: You Complete Me, Ho",2019,"Weighted average of 2.88 based on 3,464 ratings",2.9,62 mins   More at IMDB TMDB,Comedy
Fragtime,2019,"Weighted average of 2.94 based on 1,996 ratings",2.9,61 mins   More at IMDB TMDB,"Romance, Comedy, Science Fiction, Animation"
Jo Pil-ho: The Dawning Rage,2019,"Weighted average of 3.18 based on 2,817 ratings",3.2,127 mins   More at IMDB TMDB,"Crime, Action, Thriller, Drama"
Midnight Traveler,2019,"Weighted average of 3.90 based on 1,207 ratings",3.9,88 mins   More at IMDB TMDB,Documentary
Lola and the Sea,2019,"Weighted average of 3.57 based on 1,772 ratings",3.6,90 mins   More at IMDB TMDB,Drama
Wayne,2019,"Weighted average of 4.16 based on 2,070 ratings",4.2,350 mins   More at IMDB TMDB,"Action, Comedy, Crude Humor And Satire, Relationship Comedy, Quirky And Endearing Relationships, Challenging Or Sexual Themes & Twists, Show All…"
Hostage Radio,2019,"Weighted average of 2.88 based on 2,597 ratings",2.9,97 mins   More at IMDB TMDB,"Thriller, Horror, Horror, The Undead And Monster Classics, Twisted Dark Psychological Thriller, Suspenseful Crime Thrillers, Gory, Gruesome, And Slasher Horror, Intriguing And Suspenseful Murder Mysteries, Intense Political And Terrorist Thrillers, Show All…"
Mystify: Michael Hutchence,2019,"Weighted average of 3.63 based on 2,849 ratings",3.6,102 mins   More at IMDB TMDB,"Documentary, Music"
The Last Laugh,2019,"Weighted average of 2.50 based on 3,252 ratings",2.5,98 mins   More at IMDB TMDB,"Comedy, Crude Humor And Satire, Relationship Comedy, Moving Relationship Stories, Laugh-Out-Loud Relationship Entanglements, Quirky And Endearing Relationships, Touching And Sentimental Family Stories, Catchy Songs And Hilarious Musical Comedy, Gags, Jokes, And Slapstick Humor, Show All…"
Max Richter’s Sleep,2019,"Weighted average of 3.74 based on 1,850 ratings",3.7,99 mins   More at IMDB TMDB,"Music, Documentary"
Karakomik Filmler,2019,"Weighted average of 2.84 based on 4,507 ratings",2.8,More at TMDB,Comedy
Eeb Allay Ooo!,2019,"Weighted average of 3.52 based on 2,462 ratings",3.5,97 mins   More at IMDB TMDB,"Drama, Comedy"
Lucky Day,2019,"Weighted average of 2.51 based on 2,282 ratings",2.5,99 mins   More at IMDB TMDB,"Thriller, Crime, Action, Crude Humor And Satire, Violent Action, Guns, And Crime, Heists And Thrilling Action, Funny Jokes And Crude Humor, Brutal, Violent Prison Drama, Gags, Jokes, And Slapstick Humor, Show All…"
Bombay Rose,2019,"Weighted average of 3.31 based on 1,684 ratings",3.3,93 mins   More at IMDB TMDB,"Romance, Animation, Drama"
"The Mind, Explained",2019,"Weighted average of 3.80 based on 2,745 ratings",3.8,220 mins   More at IMDB TMDB,Documentary
The Glass Room,2019,"Weighted average of 2.76 based on 1,549 ratings",2.8,104 mins   More at IMDB TMDB,Drama
Adults in the Room,2019,"Weighted average of 3.25 based on 2,414 ratings",3.2,124 mins   More at IMDB TMDB,Drama
Only Mine,2019,"Weighted average of 1.83 based on 3,468 ratings",1.8,87 mins   More at IMDB TMDB,"TV Movie, Thriller, Drama, Thrillers And Murder Mysteries, Suspenseful Crime Thrillers, Show All…"
The Tunnel,2019,"Weighted average of 2.82 based on 3,169 ratings",2.8,103 mins   More at IMDB TMDB,"Drama, Thriller, High Speed And Special Ops, Adrenaline-Fueled Action And Fast Cars, Show All…"
Mission Mangal,2019,"Weighted average of 2.91 based on 4,209 ratings",2.9,133 mins   More at IMDB TMDB,"History, Drama, Song And Dance, Bollywood Emotional Dramas, Show All…"
Inside Bill’s Brain: Decoding Bill Gates,2019,"Weighted average of 3.57 based on 3,183 ratings",3.6,156 mins   More at IMDB TMDB,"Documentary, Politics And Human Rights, Humanity'S Odyssey: Earth And Beyond, Show All…"
Never Grow Old,2019,"Weighted average of 3.20 based on 2,336 ratings",3.2,101 mins   More at IMDB TMDB,"Western, Westerns, Wild West Outlaws And Gunfights, Western Frontier Dramas With A Touch Of Humor, Religious Faith, Sin, And Forgiveness, Show All…"
Kakegurui,2019,"Weighted average of 3.11 based on 2,680 ratings",3.1,120 mins   More at IMDB TMDB,"Mystery, Thriller, Drama"
Woodstock: Three Days That Defined a Generation,2019,"Weighted average of 3.65 based on 2,571 ratings",3.7,106 mins   More at IMDB TMDB,"Documentary, Music"
In Search of the Last Action Heroes,2019,"Weighted average of 3.43 based on 2,371 ratings",3.4,140 mins   More at IMDB TMDB,"Action, Documentary"
Cousins,2019,"Weighted average of 2.30 based on 2,745 ratings",2.3,83 mins   More at IMDB TMDB,"Romance, Comedy, Drama"
He Is Psychometric,2019,"Weighted average of 3.58 based on 3,131 ratings",3.6,944 mins   More at IMDB TMDB,"Comedy, Drama, Mystery"
Life Like,2019,"Weighted average of 2.40 based on 2,492 ratings",2.4,95 mins   More at IMDB TMDB,"Thriller, Science Fiction, Intense Violence And Sexual Transgression, Erotic Relationships And Desire, Show All…"
The Hottest August,2019,"Weighted average of 3.59 based on 1,106 ratings",3.6,94 mins   More at IMDB TMDB,Documentary
In My Blood It Runs,2019,"Weighted average of 3.83 based on 1,566 ratings",3.8,85 mins   More at IMDB TMDB,Documentary
Adam,2019,"Weighted average of 2.40 based on 1,768 ratings",2.4,95 mins   More at IMDB TMDB,Comedy
Minha Fama de Mau,2019,"Weighted average of 3.22 based on 2,726 ratings",3.2,120 mins   More at IMDB TMDB,"Drama, Music, History"
Jacob’s Ladder,2019,"Weighted average of 1.84 based on 2,430 ratings",1.8,89 mins   More at IMDB TMDB,"Thriller, Horror, Mystery, Horror, The Undead And Monster Classics, Twisted Dark Psychological Thriller, Terrifying, Haunted, And Supernatural Horror, Dreamlike, Quirky, And Surreal Storytelling, Gothic And Eerie Haunting Horror, Show All…"
Psychobitch,2019,"Weighted average of 3.22 based on 2,055 ratings",3.2,109 mins   More at IMDB TMDB,Drama
The Audition,2019,"Weighted average of 3.30 based on 2,001 ratings",3.3,99 mins   More at IMDB TMDB,Drama
Brother in Love,2019,"Weighted average of 3.11 based on 4,092 ratings",3.1,109 mins   More at IMDB TMDB,"Comedy, Family"
Holiday Rush,2019,"Weighted average of 2.31 based on 2,853 ratings",2.3,94 mins   More at IMDB TMDB,"Comedy, Romance, Drama"
Brochevarevaru Ra,2019,"Weighted average of 3.69 based on 3,167 ratings",3.7,122 mins   More at IMDB TMDB,"Crime, Thriller"
The Ground Beneath My Feet,2019,"Weighted average of 3.33 based on 1,771 ratings",3.3,108 mins   More at IMDB TMDB,Drama
No Longer Human,2019,"Weighted average of 3.20 based on 1,169 ratings",3.2,120 mins   More at IMDB TMDB,"Drama, Thriller"
The Warden,2019,"Weighted average of 3.43 based on 4,119 ratings",3.4,100 mins   More at IMDB TMDB,"Romance, Drama, Mystery"
Thanneer Mathan Dinangal,2019,"Weighted average of 3.50 based on 3,297 ratings",3.5,133 mins   More at IMDB TMDB,"Comedy, Romance"
The Courier,2019,"Weighted average of 2.14 based on 2,952 ratings",2.1,99 mins   More at IMDB TMDB,"Crime, Thriller, Action, Adventure, High Speed And Special Ops, Explosive And Action-Packed Heroes Vs. Villains, Violent Action, Guns, And Crime, Intense Combat And Martial Arts, Adrenaline-Fueled Action And Fast Cars, Heists And Thrilling Action, Show All…"
Skyfire,2019,"Weighted average of 2.48 based on 2,583 ratings",2.5,93 mins   More at IMDB TMDB,"Action, Adventure, Epic Heroes, Disastrous Voyages And Heroic Survival, Superheroes In Action-Packed Battles With Villains, Dangerous Technology And The Apocalypse, Tragic Sadness And Captivating Beauty, Show All…"
"She Said, He Said",2019,"Weighted average of 2.49 based on 3,432 ratings",2.5,78 mins   More at IMDB TMDB,"Romance, Comedy"
The Days to Come,2019,"Weighted average of 3.64 based on 2,051 ratings",3.6,95 mins   More at IMDB TMDB,"Drama, Romance"
Candy Corn,2019,"Weighted average of 2.16 based on 2,232 ratings",2.2,85 mins   More at IMDB TMDB,"Thriller, Horror, Horror, The Undead And Monster Classics, Gory, Gruesome, And Slasher Horror, Survival Horror And Zombie Carnage, Gothic And Eerie Haunting Horror, Show All…"
Blizzard of Souls,2019,"Weighted average of 3.54 based on 2,066 ratings",3.5,124 mins   More at IMDB TMDB,"War, Drama, History"
The Grand Tour Presents: Seamen,2019,"Weighted average of 3.87 based on 3,711 ratings",3.9,91 mins   More at IMDB TMDB,"Documentary, Comedy"
Selfie,2019,"Weighted average of 3.67 based on 2,423 ratings",3.7,76 mins   More at IMDB TMDB,Documentary
White Riot,2019,"Weighted average of 3.68 based on 1,936 ratings",3.7,80 mins   More at IMDB TMDB,"Music, Documentary"
Sin,2019,"Weighted average of 3.56 based on 1,753 ratings",3.6,134 mins   More at IMDB TMDB,"Drama, History"
Who Would You Take to a Deserted Island?,2019,"Weighted average of 2.48 based on 3,371 ratings",2.5,90 mins   More at IMDB TMDB,"Comedy, Drama"
Liam Gallagher: As It Was,2019,"Weighted average of 3.52 based on 2,823 ratings",3.5,85 mins   More at IMDB TMDB,"Documentary, Music"
Student of the Year 2,2019,"Weighted average of 1.67 based on 3,704 ratings",1.7,146 mins   More at IMDB TMDB,"Romance, Comedy, Drama, Song And Dance, Bollywood Emotional Dramas, Show All…"
All the Colors of Giallo,2019,"Weighted average of 3.20 based on 1,688 ratings",3.2,89 mins   More at IMDB TMDB,Documentary
Your Turn,2019,"Weighted average of 3.88 based on 1,761 ratings",3.9,93 mins   More at IMDB TMDB,Documentary
National Theatre Live: A Midsummer Night’s Dream,2019,"Weighted average of 4.20 based on 1,746 ratings",4.2,159 mins   More at IMDB TMDB,"Comedy, Fantasy"
Greatest Events of World War II in Colour,2019,"Weighted average of 4.11 based on 2,933 ratings",4.1,500 mins   More at IMDB TMDB,"Documentary, War And Historical Adventure, Nazis And World War II, Bravery In War, Military Combat And Heroic Soldiers, Riveting Political And Presidential Drama, Politics, Propaganda, And Political Documentaries, Show All…"
Changeland,2019,"Weighted average of 2.88 based on 2,053 ratings",2.9,86 mins   More at IMDB TMDB,"Comedy, Drama, Crude Humor And Satire, Laugh-Out-Loud Relationship Entanglements, Show All…"
Section 375,2019,"Weighted average of 3.45 based on 3,108 ratings",3.5,124 mins   More at IMDB TMDB,"Crime, Thriller, Drama, Crime, Drugs And Gangsters, Graphic Violence And Brutal Revenge, Show All…"
Belonging,2019,"Weighted average of 3.15 based on 2,144 ratings",3.2,71 mins   More at IMDB TMDB,"Crime, Drama"
Grass Is Greener,2019,"Weighted average of 3.60 based on 2,631 ratings",3.6,97 mins   More at IMDB TMDB,Documentary
Ready to Mingle,2019,"Weighted average of 2.65 based on 3,126 ratings",2.7,97 mins   More at IMDB TMDB,"Romance, Comedy"
Sweetheart,2019,"Weighted average of 3.34 based on 3,075 ratings",3.3,87 mins   More at IMDB TMDB,"Comedy, Drama"
Western Stars,2019,"Weighted average of 3.71 based on 2,177 ratings",3.7,83 mins   More at IMDB TMDB,"Documentary, Music"
Winona,2019,"Weighted average of 3.39 based on 1,658 ratings",3.4,87 mins   More at IMDB TMDB,"Comedy, Drama"
Top End Wedding,2019,"Weighted average of 3.25 based on 2,293 ratings",3.3,113 mins   More at IMDB TMDB,Comedy
0.0MHz,2019,"Weighted average of 2.46 based on 2,171 ratings",2.5,102 mins   More at IMDB TMDB,Horror
Lynn + Lucy,2019,"Weighted average of 3.61 based on 1,638 ratings",3.6,90 mins   More at IMDB TMDB,Drama
The Wolf Hour,2019,"Weighted average of 2.61 based on 2,176 ratings",2.6,99 mins   More at IMDB TMDB,"Thriller, Horror, The Undead And Monster Classics, Twisted Dark Psychological Thriller, Show All…"
Nani’s Gang Leader,2019,"Weighted average of 3.43 based on 3,587 ratings",3.4,155 mins   More at IMDB TMDB,"Crime, Thriller, Comedy"
I Am the Night,2019,"Weighted average of 3.32 based on 1,569 ratings",3.3,300 mins   More at IMDB TMDB,"Drama, Crime, Mystery, Thrillers And Murder Mysteries, Noir And Dark Crime Dramas, Suspenseful Crime Thrillers, Gripping, Intense Violent Crime, Intriguing And Suspenseful Murder Mysteries, Show All…"
Katherine Ryan: Glitter Room,2019,"Weighted average of 3.52 based on 2,771 ratings",3.5,65 mins   More at IMDB TMDB,Comedy
Case Closed: The Fist of Blue Sapphire,2019,"Weighted average of 3.16 based on 3,123 ratings",3.2,109 mins   More at IMDB TMDB,"Animation, Action, Adventure, Crime, Mystery"
My Zoe,2019,"Weighted average of 2.92 based on 1,650 ratings",2.9,100 mins   More at IMDB TMDB,"Drama, Science Fiction"
The Movies,2019,"Weighted average of 3.87 based on 1,785 ratings",3.9,480 mins   More at IMDB TMDB,Documentary
Itsy Bitsy,2019,"Weighted average of 2.30 based on 2,349 ratings",2.3,95 mins   More at IMDB TMDB,"Thriller, Horror, Horror, The Undead And Monster Classics, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Gothic And Eerie Haunting Horror, Gory, Gruesome, And Slasher Horror, Sci-Fi Horror, Creatures, And Aliens, Show All…"
The Awakening of the Ants,2019,"Weighted average of 3.47 based on 1,701 ratings",3.5,94 mins   More at IMDB TMDB,Drama
Birthday,2019,"Weighted average of 3.58 based on 1,552 ratings",3.6,120 mins   More at IMDB TMDB,Drama
Dirty God,2019,"Weighted average of 3.36 based on 1,734 ratings",3.4,104 mins   More at IMDB TMDB,Drama
Guest of Honour,2019,"Weighted average of 2.96 based on 1,675 ratings",3.0,105 mins   More at IMDB TMDB,Drama
Housefull 4,2019,"Weighted average of 1.85 based on 4,028 ratings",1.8,142 mins   More at IMDB TMDB,"Drama, Romance, Comedy, Crude Humor And Satire, Gags, Jokes, And Slapstick Humor, Funny Jokes And Crude Humor, Catchy Songs And Hilarious Musical Comedy, Bollywood Emotional Dramas, Show All…"
Android Kunjappan Version 5.25,2019,"Weighted average of 3.57 based on 3,143 ratings",3.6,134 mins   More at IMDB TMDB,"Comedy, Drama"
What’s My Name | Muhammad Ali,2019,"Weighted average of 4.02 based on 1,886 ratings",4.0,165 mins   More at IMDB TMDB,Documentary
Deadcon,2019,"Weighted average of 1.52 based on 2,461 ratings",1.5,78 mins   More at IMDB TMDB,"Horror, Horror, The Undead And Monster Classics, Terrifying, Haunted, And Supernatural Horror, Show All…"
Fanny Lye Deliver’d,2019,"Weighted average of 3.33 based on 1,790 ratings",3.3,110 mins   More at IMDB TMDB,"History, Thriller, Drama, Epic History And Literature, Enduring Stories Of Family And Marital Drama, Show All…"
Brené Brown: The Call to Courage,2019,"Weighted average of 3.87 based on 2,354 ratings",3.9,76 mins   More at IMDB TMDB,Documentary
Close to the Horizon,2019,"Weighted average of 2.91 based on 2,191 ratings",2.9,117 mins   More at IMDB TMDB,"Romance, Drama"
White on White,2019,"Weighted average of 3.26 based on 1,837 ratings",3.3,100 mins   More at IMDB TMDB,Drama
The Old Man Movie,2019,"Weighted average of 3.40 based on 1,566 ratings",3.4,88 mins   More at IMDB TMDB,"Adventure, Comedy, Animation"
Blood & Flesh: The Reel Life & Ghastly Death of Al Adamson,2019,"Weighted average of 3.52 based on 2,166 ratings",3.5,100 mins   More at IMDB TMDB,Documentary
Dark Encounter,2019,"Weighted average of 2.68 based on 2,323 ratings",2.7,97 mins   More at IMDB TMDB,"Science Fiction, Thriller, Horror, Monsters, Aliens, Sci-Fi And The Apocalypse, Suspenseful Crime Thrillers, Twisted Dark Psychological Thriller, Terrifying, Haunted, And Supernatural Horror, Intriguing And Suspenseful Murder Mysteries, Gripping, Intense Violent Crime, Show All…"
Overseas,2019,"Weighted average of 3.86 based on 1,449 ratings",3.9,90 mins   More at IMDB TMDB,Documentary
Dilan 1991,2019,"Weighted average of 3.00 based on 3,821 ratings",3.0,118 mins   More at IMDB TMDB,"Romance, Drama"
Edward,2019,"Weighted average of 3.61 based on 1,225 ratings",3.6,82 mins   More at IMDB TMDB,Drama
The Show Must Go On: The Queen + Adam Lambert Story,2019,"Weighted average of 3.52 based on 2,675 ratings",3.5,81 mins   More at IMDB TMDB,"Documentary, Music"
Break,2019,"Weighted average of 1.99 based on 2,979 ratings",2.0,90 mins   More at IMDB TMDB,Thriller
Saving Zoë,2019,"Weighted average of 2.37 based on 2,730 ratings",2.4,95 mins   More at IMDB TMDB,"Mystery, Drama, Thriller"
Deathcember,2019,"Weighted average of 2.41 based on 1,502 ratings",2.4,145 mins   More at IMDB TMDB,Horror
Amy Schumer: Growing,2019,"Weighted average of 2.99 based on 2,873 ratings",3.0,61 mins   More at IMDB TMDB,Comedy
Sequin in a Blue Room,2019,"Weighted average of 3.11 based on 1,647 ratings",3.1,80 mins   More at IMDB TMDB,"Drama, Thriller"
Operation Cicero,2019,"Weighted average of 2.90 based on 3,490 ratings",2.9,120 mins   More at IMDB TMDB,"Drama, War, Crime, History"
This Earth of Mankind,2019,"Weighted average of 3.23 based on 3,269 ratings",3.2,181 mins   More at IMDB TMDB,"Drama, History"
The Black Godfather,2019,"Weighted average of 3.70 based on 1,597 ratings",3.7,118 mins   More at IMDB TMDB,"Music, Documentary"
City of Trees,2019,"Weighted average of 3.01 based on 1,268 ratings",3.0,87 mins   More at IMDB TMDB,"Drama, Romance"
American Skin,2019,"Weighted average of 3.11 based on 1,576 ratings",3.1,90 mins   More at IMDB TMDB,"Drama, Crime, Humanity And The World Around Us, Moving Relationship Stories, Racism And The Powerful Fight For Justice, Emotional And Touching Family Dramas, Heartbreaking And Moving Family Drama, Powerful Stories Of Heartbreak And Suffering, Show All…"
Out Stealing Horses,2019,"Weighted average of 3.32 based on 2,078 ratings",3.3,122 mins   More at IMDB TMDB,Drama
Helen,2019,"Weighted average of 3.46 based on 2,980 ratings",3.5,117 mins   More at IMDB TMDB,"Family, Thriller"
The Loudest Voice,2019,"Weighted average of 3.71 based on 2,008 ratings",3.7,350 mins   More at IMDB TMDB,"Drama, Politics And Human Rights, Politics, Propaganda, And Political Documentaries, Riveting Political And Presidential Drama, Show All…"
In the Name of the Land,2019,"Weighted average of 3.53 based on 2,837 ratings",3.5,103 mins   More at IMDB TMDB,Drama
One Cut of the Dead Spin-Off: In Hollywood,2019,"Weighted average of 3.23 based on 1,069 ratings",3.2,57 mins   More at IMDB TMDB,"Comedy, TV Movie, Horror"
The Silence of the Marsh,2019,"Weighted average of 2.24 based on 3,093 ratings",2.2,92 mins   More at IMDB TMDB,Thriller
Swans: Where Does a Body End?,2019,"Weighted average of 3.71 based on 1,547 ratings",3.7,161 mins   More at IMDB TMDB,"Documentary, Music"
Three Summers,2019,"Weighted average of 3.12 based on 2,235 ratings",3.1,96 mins   More at IMDB TMDB,"Comedy, Drama"
The Goldfish,2019,"Weighted average of 3.23 based on 3,203 ratings",3.2,111 mins   More at IMDB TMDB,Comedy
Enter the Anime,2019,"Weighted average of 1.54 based on 2,619 ratings",1.5,58 mins   More at IMDB TMDB,"Documentary, Epic History And Literature, Fascinating, Emotional Stories And Documentaries, Show All…"
No. 7 Cherry Lane,2019,"Weighted average of 3.02 based on 1,147 ratings",3.0,125 mins   More at IMDB TMDB,"Drama, Romance, Animation"
A Dog Called Money,2019,"Weighted average of 3.18 based on 1,915 ratings",3.2,94 mins   More at IMDB TMDB,"Documentary, Music"
Ask Dr. Ruth,2019,"Weighted average of 3.74 based on 1,917 ratings",3.7,100 mins   More at IMDB TMDB,Documentary
Beyond the Dream,2019,"Weighted average of 3.56 based on 1,982 ratings",3.6,120 mins   More at IMDB TMDB,"Romance, Drama"
1982,2019,"Weighted average of 3.55 based on 1,538 ratings",3.6,100 mins   More at IMDB TMDB,"Drama, History, War"
Cosmos,2019,"Weighted average of 3.04 based on 2,038 ratings",3.0,128 mins   More at IMDB TMDB,"Mystery, Science Fiction, Monsters, Aliens, Sci-Fi And The Apocalypse, Imaginative Space Odysseys And Alien Encounters, Thought-Provoking Sci-Fi Action And Future Technology, Action-Packed Space And Alien Sagas, Adrenaline-Fueled Action And Fast Cars, Show All…"
The Rising of the Shield Hero,2019,"Weighted average of 3.35 based on 3,175 ratings",3.3,600 mins   More at IMDB TMDB,"Drama, Animation, Epic Heroes, Fantasy Adventure, Heroism, And Swordplay, Show All…"
Ride Like a Girl,2019,"Weighted average of 3.10 based on 2,180 ratings",3.1,98 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Touching And Sentimental Family Stories, Show All…"
Comets,2019,"Weighted average of 3.22 based on 1,251 ratings",3.2,70 mins   More at IMDB TMDB,"Drama, Romance"
Hebe,2019,"Weighted average of 3.28 based on 2,547 ratings",3.3,112 mins   More at IMDB TMDB,"History, Drama"
Jawline,2019,"Weighted average of 3.32 based on 1,512 ratings",3.3,97 mins   More at IMDB TMDB,Documentary
Gorillaz: Reject False Icons,2019,"Weighted average of 3.40 based on 1,833 ratings",3.4,95 mins   More at IMDB TMDB,"Documentary, Music"
Rain,2019,"Weighted average of 3.47 based on 1,612 ratings",3.5,96 mins   More at IMDB TMDB,"Romance, Fantasy, Mystery, Drama, Humanity And The World Around Us, Surreal And Thought-Provoking Visions Of Life And Death, Show All…"
Uyare,2019,"Weighted average of 3.50 based on 2,904 ratings",3.5,125 mins   More at IMDB TMDB,Drama
"Mother, I Am Suffocating. This Is My Last Film About You.",2019,Weighted average of 3.52 based on 551 ratings,3.5,76 mins   More at IMDB TMDB,Documentary
Romantic Comedy,2019,"Weighted average of 3.16 based on 1,666 ratings",3.2,78 mins   More at IMDB TMDB,Documentary
Goodbye Mother,2019,"Weighted average of 3.48 based on 1,347 ratings",3.5,100 mins   More at IMDB TMDB,"Drama, Romance"
Season of Love,2019,"Weighted average of 3.11 based on 1,088 ratings",3.1,105 mins   More at IMDB TMDB,"Romance, Comedy"
Mirreyes contra Godínez,2019,"Weighted average of 2.48 based on 3,128 ratings",2.5,109 mins   More at IMDB TMDB,Comedy
State of the Union,2019,"Weighted average of 3.85 based on 1,926 ratings",3.9,100 mins   More at IMDB TMDB,"Drama, Comedy"
Portrait of a Beauty,2019,"Weighted average of 3.05 based on 3,196 ratings",3.1,122 mins   More at IMDB TMDB,"Drama, Thriller, Horror"
