title,year,number_ratings,average_rating,length,genres
Buoyancy,2019,"Weighted average of 3.69 based on 2,061 ratings",3.7,93 mins   More at IMDB TMDB,"Drama, Crime"
Kinky Boots: The Musical,2019,"Weighted average of 3.82 based on 2,505 ratings",3.8,122 mins   More at IMDB TMDB,"Comedy, Music"
A Guide to Second Date Sex,2019,"Weighted average of 2.69 based on 2,414 ratings",2.7,81 mins   More at IMDB TMDB,"Romance, Comedy"
So My Grandma’s a Lesbian!,2019,"Weighted average of 2.07 based on 2,954 ratings",2.1,97 mins   More at IMDB TMDB,"Romance, Comedy"
Sonchiriya,2019,"Weighted average of 3.71 based on 2,412 ratings",3.7,145 mins   More at IMDB TMDB,"Drama, Action, Crime, Westerns, Bollywood Emotional Dramas, Wild West Outlaws And Gunfights, Violent Crime And Drugs, Show All…"
The Crystal Calls - Making The Dark Crystal: Age of Resistance,2019,"Weighted average of 3.92 based on 2,640 ratings",3.9,83 mins   More at IMDB TMDB,Documentary
Line of Duty,2019,"Weighted average of 2.37 based on 3,555 ratings",2.4,98 mins   More at IMDB TMDB,"Action, Crime, Thriller, High Speed And Special Ops, Epic Heroes, Adrenaline-Fueled Action And Fast Cars, Explosive And Action-Packed Heroes Vs. Villains, Violent Action, Guns, And Crime, Action Comedy And Silly Heroics, Superheroes In Action-Packed Battles With Villains, Show All…"
Where We Belong,2019,"Weighted average of 3.57 based on 1,499 ratings",3.6,130 mins   More at IMDB TMDB,Drama
Not Knowing,2019,"Weighted average of 3.12 based on 2,636 ratings",3.1,95 mins   More at IMDB TMDB,Drama
The Last Vermeer,2019,"Weighted average of 3.16 based on 2,749 ratings",3.2,118 mins   More at IMDB TMDB,Drama
Jezebel,2019,"Weighted average of 3.24 based on 1,300 ratings",3.2,88 mins   More at IMDB TMDB,Drama
Savage X Fenty Show,2019,"Weighted average of 3.99 based on 3,367 ratings",4.0,51 mins   More at IMDB TMDB,Documentary
The Ruthless,2019,"Weighted average of 2.96 based on 4,077 ratings",3.0,111 mins   More at IMDB TMDB,"Crime, Drama"
Lupin the Third: Fujiko’s Lie,2019,"Weighted average of 3.44 based on 2,345 ratings",3.4,58 mins   More at IMDB TMDB,"Crime, Drama, Animation, Action"
Bala,2019,"Weighted average of 3.01 based on 4,532 ratings",3.0,133 mins   More at IMDB TMDB,"Comedy, Romance, Crude Humor And Satire, Bollywood Emotional Dramas, Show All…"
Into the Labyrinth,2019,"Weighted average of 2.83 based on 3,621 ratings",2.8,130 mins   More at IMDB TMDB,"Mystery, Thriller"
Pavarotti,2019,"Weighted average of 3.56 based on 2,663 ratings",3.6,115 mins   More at IMDB TMDB,"History, Documentary, TV Movie"
