title,year,number_ratings,average_rating,length,genres
Sorry For Your Loss,2018,No number of ratings available,No average rating available,100 mins   More at IMDB TMDB,"Comedy, Drama"
The Other Story,2018,Weighted average of 3.32 based on 289 ratings,3.3,112 mins   More at IMDB TMDB,Drama
"Henry Rollins: Keep Talking, Pal.",2018,Weighted average of 3.47 based on 397 ratings,3.5,58 mins   More at IMDB TMDB,Comedy
Fly By Night,2018,Weighted average of 3.43 based on 335 ratings,3.4,101 mins   More at IMDB TMDB,"Mystery, Crime, Action, Thriller"
Stars by the Pound,2018,Weighted average of 3.31 based on 327 ratings,3.3,88 mins   More at IMDB TMDB,"Drama, Comedy"
The Tag-Along: Devil Fish,2018,Weighted average of 2.97 based on 351 ratings,3.0,115 mins   More at IMDB TMDB,Horror
What Doesn’t Kill Us,2018,No number of ratings available,No average rating available,129 mins   More at IMDB TMDB,"Drama, Comedy"
Micin Generation vs Kevin,2018,Weighted average of 2.92 based on 676 ratings,2.9,88 mins   More at IMDB TMDB,"Drama, Comedy"
Deep Web XXX,2018,No number of ratings available,No average rating available,76 mins   More at IMDB TMDB,"Horror, Fantasy"
Christmas Everlasting,2018,Weighted average of 2.94 based on 289 ratings,2.9,84 mins   More at IMDB TMDB,"Drama, Romance, TV Movie"
Decade of Fire,2018,No number of ratings available,No average rating available,79 mins   More at IMDB TMDB,Documentary
Snowfall,2018,No number of ratings available,No average rating available,More at IMDB TMDB,Drama
Puppy Star Christmas,2018,Weighted average of 2.68 based on 316 ratings,2.7,90 mins   More at IMDB TMDB,"Music, Family, Comedy, Fantasy"
Mob Psycho 100,2018,Weighted average of 3.82 based on 356 ratings,3.8,170 mins   More at TMDB,"Comedy, Action"
The Return,2018,Weighted average of 3.48 based on 281 ratings,3.5,85 mins   More at IMDB TMDB,Documentary
Three Adventures of Brooke,2018,Weighted average of 3.39 based on 245 ratings,3.4,100 mins   More at IMDB TMDB,"Fantasy, Adventure"
The Ninth Passenger,2018,Weighted average of 2.49 based on 311 ratings,2.5,93 mins   More at IMDB TMDB,Horror
Istanbul Junction,2018,Weighted average of 1.96 based on 691 ratings,2.0,100 mins   More at IMDB TMDB,"Action, Drama"
Crayon Shin-chan: Burst Serving! Kung Fu Boys ~Ramen Rebellion~,2018,Weighted average of 3.25 based on 412 ratings,3.3,104 mins   More at IMDB TMDB,"Animation, Comedy, Adventure"
Winterskin,2018,Weighted average of 2.93 based on 235 ratings,2.9,84 mins   More at IMDB TMDB,"Horror, Mystery, Fantasy, Action, Thriller"
The Bastard and the Beautiful World,2018,No number of ratings available,No average rating available,111 mins   More at IMDB TMDB,"Comedy, Action, Fantasy, Romance, Music, Drama"
Funny Story,2018,Weighted average of 3.10 based on 282 ratings,3.1,84 mins   More at IMDB TMDB,"Drama, Comedy"
Christmas Cupcakes,2018,Weighted average of 2.83 based on 326 ratings,2.8,90 mins   More at IMDB TMDB,"Drama, Romance, TV Movie"
"I Love You, Hater",2018,Weighted average of 2.95 based on 469 ratings,2.9,120 mins   More at IMDB TMDB,"Romance, Comedy"
Hitler Versus Picasso,2018,Weighted average of 3.37 based on 279 ratings,3.4,94 mins   More at IMDB TMDB,Documentary
Manu,2018,Weighted average of 3.38 based on 371 ratings,3.4,182 mins   More at IMDB TMDB,"Mystery, Romance, Thriller, Humanity And The World Around Us, Twisted Dark Psychological Thriller, Show All…"
Complicity,2018,Weighted average of 3.50 based on 255 ratings,3.5,116 mins   More at IMDB TMDB,Drama
