title,year,number_ratings,average_rating,length,genres
Parasite,2019,"Weighted average of 4.55 based on 3,233,120 ratings",4.6,133 mins   More at IMDB TMDB,"Comedy, Thriller, Drama, Humanity And The World Around Us, Intense Violence And Sexual Transgression, Moving Relationship Stories, Twisted Dark Psychological Thriller, Heartbreaking And Moving Family Drama, Enduring Stories Of Family And Marital Drama, Touching And Sentimental Family Stories, Intense Political And Terrorist Thrillers, Show All…"
Joker,2019,"Weighted average of 3.85 based on 3,064,771 ratings",3.8,122 mins   More at IMDB TMDB,"Crime, Drama, Thriller, Intense Violence And Sexual Transgression, Moving Relationship Stories, Humanity And The World Around Us, Crime, Drugs And Gangsters, Powerful Stories Of Heartbreak And Suffering, Gripping, Intense Violent Crime, Challenging Or Sexual Themes & Twists, Emotional And Captivating Fantasy Storytelling, Graphic Violence And Brutal Revenge, Show All…"
Midsommar,2019,"Weighted average of 3.77 based on 2,420,557 ratings",3.8,147 mins   More at IMDB TMDB,"Mystery, Drama, Horror, Intense Violence And Sexual Transgression, Horror, The Undead And Monster Classics, Humanity And The World Around Us, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Gory, Gruesome, And Slasher Horror, Gothic And Eerie Haunting Horror, Dreamlike, Quirky, And Surreal Storytelling, Show All…"
Knives Out,2019,"Weighted average of 3.98 based on 2,583,937 ratings",4.0,131 mins   More at IMDB TMDB,"Mystery, Comedy, Crime, Thrillers And Murder Mysteries, Crude Humor And Satire, Intriguing And Suspenseful Murder Mysteries, Suspenseful Crime Thrillers, Noir And Dark Crime Dramas, Twisted Dark Psychological Thriller, Show All…"
Once Upon a Time… in Hollywood,2019,"Weighted average of 3.76 based on 1,977,706 ratings",3.8,162 mins   More at IMDB TMDB,"Drama, Thriller, Comedy, Humanity And The World Around Us, Fascinating, Emotional Stories And Documentaries, Show All…"
Little Women,2019,"Weighted average of 4.15 based on 1,674,110 ratings",4.2,135 mins   More at IMDB TMDB,"Romance, History, Drama, Moving Relationship Stories, Touching And Sentimental Family Stories, Emotional And Touching Family Dramas, Powerful Stories Of Heartbreak And Suffering, Charming Romances And Delightful Chemistry, Captivating Relationships And Charming Romance, Show All…"
Avengers: Endgame,2019,"Weighted average of 3.89 based on 2,119,542 ratings",3.9,181 mins   More at IMDB TMDB,"Science Fiction, Action, Adventure, Epic Heroes, Moving Relationship Stories, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Historical Battles And Epic Heroism, Show All…"
Jojo Rabbit,2019,"Weighted average of 4.03 based on 1,524,453 ratings",4.0,108 mins   More at IMDB TMDB,"War, Drama, Comedy, Crude Humor And Satire, Humanity And The World Around Us, Moving Relationship Stories, War And Historical Adventure, Relationship Comedy, Nazis And World War II, Amusing Jokes And Witty Satire, Quirky And Endearing Relationships, Funny Jokes And Crude Humor, Gags, Jokes, And Slapstick Humor, Show All…"
Us,2019,"Weighted average of 3.66 based on 1,486,294 ratings",3.7,116 mins   More at IMDB TMDB,"Thriller, Horror, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Creepy, Chilling, And Terrifying Horror, Gothic And Eerie Haunting Horror, Gory, Gruesome, And Slasher Horror, Show All…"
The Lighthouse,2019,"Weighted average of 4.03 based on 1,050,960 ratings",4.0,109 mins   More at IMDB TMDB,"Horror, Drama, Thriller, Fantasy, Horror, The Undead And Monster Classics, Intense Violence And Sexual Transgression, Humanity And The World Around Us, Dreamlike, Quirky, And Surreal Storytelling, Terrifying, Haunted, And Supernatural Horror, Gothic And Eerie Haunting Horror, Surreal And Thought-Provoking Visions Of Life And Death, Twisted Dark Psychological Thriller, Show All…"
1917,2019,"Weighted average of 4.11 based on 1,310,621 ratings",4.1,119 mins   More at IMDB TMDB,"History, Thriller, Drama, War, War And Historical Adventure, Epic History And Literature, Humanity And The World Around Us, Military Combat And Heroic Soldiers, Bravery In War, Historical Battles And Epic Heroism, Nazis And World War II, Air Pilot Heroism And Survival, Show All…"
Spider-Man: Far From Home,2019,"Weighted average of 3.37 based on 1,522,464 ratings",3.4,129 mins   More at IMDB TMDB,"Adventure, Science Fiction, Action, Epic Heroes, Relationship Comedy, Crude Humor And Satire, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Action-Packed Space And Alien Sagas, Laugh-Out-Loud Relationship Entanglements, Explosive And Action-Packed Heroes Vs. Villains, Show All…"
Uncut Gems,2019,"Weighted average of 3.95 based on 1,156,127 ratings",4.0,136 mins   More at IMDB TMDB,"Thriller, Drama, Crime, Crime, Drugs And Gangsters, Engaging, Intense Crime And Casino Drama, Show All…"
Portrait of a Lady on Fire,2019,"Weighted average of 4.43 based on 725,920 ratings",4.4,121 mins   More at IMDB TMDB,"History, Drama, Romance, Moving Relationship Stories, Humanity And The World Around Us, Passion And Romance, Captivating Relationships And Charming Romance, Erotic Relationships And Desire, Powerful Poetic And Passionate Drama, Tragic Sadness And Captivating Beauty, Show All…"
Marriage Story,2019,"Weighted average of 4.00 based on 1,067,160 ratings",4.0,137 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Humanity And The World Around Us, Emotional And Touching Family Dramas, Powerful Stories Of Heartbreak And Suffering, Heartbreaking And Moving Family Drama, Touching And Sentimental Family Stories, Enduring Stories Of Family And Marital Drama, Show All…"
Captain Marvel,2019,"Weighted average of 2.68 based on 1,118,896 ratings",2.7,124 mins   More at IMDB TMDB,"Science Fiction, Action, Adventure, Epic Heroes, High Speed And Special Ops, Superheroes In Action-Packed Battles With Villains, Action-Packed Space And Alien Sagas, Action Comedy And Silly Heroics, Explosive And Action-Packed Heroes Vs. Villains, Thought-Provoking Sci-Fi Action And Future Technology, Show All…"
Star Wars: The Rise of Skywalker,2019,"Weighted average of 2.34 based on 969,927 ratings",2.3,142 mins   More at IMDB TMDB,"Adventure, Action, Science Fiction, Epic Heroes, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Action-Packed Space And Alien Sagas, Epic Adventure And Breathtaking Battles, Show All…"
Booksmart,2019,"Weighted average of 3.74 based on 712,038 ratings",3.7,102 mins   More at IMDB TMDB,"Comedy, Crude Humor And Satire, Underdogs And Coming Of Age, Relationship Comedy, Teen School Antics And Laughter, Funny Jokes And Crude Humor, Laugh-Out-Loud Relationship Entanglements, Gags, Jokes, And Slapstick Humor, Quirky And Endearing Relationships, Show All…"
Sound of Metal,2019,"Weighted average of 4.20 based on 596,059 ratings",4.2,120 mins   More at IMDB TMDB,"Music, Drama, Moving Relationship Stories, Humanity And The World Around Us, Powerful Stories Of Heartbreak And Suffering, Show All…"
The Irishman,2019,"Weighted average of 3.91 based on 682,483 ratings",3.9,209 mins   More at IMDB TMDB,"History, Drama, Crime, Crime, Drugs And Gangsters, Gritty Crime And Ruthless Gangsters, Show All…"
Ready or Not,2019,"Weighted average of 3.54 based on 651,359 ratings",3.5,95 mins   More at IMDB TMDB,"Comedy, Horror, Horror, The Undead And Monster Classics, Crude Humor And Satire, Twisted Dark Psychological Thriller, Gory, Gruesome, And Slasher Horror, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Spooky, Scary Comedy, Show All…"
Toy Story 4,2019,"Weighted average of 3.39 based on 809,815 ratings",3.4,100 mins   More at IMDB TMDB,"Adventure, Comedy, Fantasy, Animation, Family, Crude Humor And Satire, Kids' Animated Fun And Adventure, Adorable Animals And Heartwarming Families, Holiday Joy And Heartwarming Christmas, Touching And Sentimental Family Stories, Emotional And Captivating Fantasy Storytelling, Show All…"
It Chapter Two,2019,"Weighted average of 2.89 based on 820,260 ratings",2.9,169 mins   More at IMDB TMDB,"Fantasy, Drama, Horror, Horror, The Undead And Monster Classics, Crude Humor And Satire, Terrifying, Haunted, And Supernatural Horror, Creepy, Chilling, And Terrifying Horror, Twisted Dark Psychological Thriller, Chilling Experiments And Classic Monster Horror, Spooky, Scary Comedy, Show All…"
Ford v Ferrari,2019,"Weighted average of 3.97 based on 641,185 ratings",4.0,153 mins   More at IMDB TMDB,"Drama, Action, History, Moving Relationship Stories, Adrenaline-Fueled Action And Fast Cars, Inspiring Sports Underdog Stories, Underdog Fighting And Boxing Stories, Show All…"
John Wick: Chapter 3 – Parabellum,2019,"Weighted average of 3.68 based on 683,184 ratings",3.7,131 mins   More at IMDB TMDB,"Crime, Thriller, Action, Epic Heroes, Intense Combat And Martial Arts, Explosive And Action-Packed Heroes Vs. Villains, Violent Action, Guns, And Crime, Superheroes In Action-Packed Battles With Villains, Fantasy Adventure, Heroism, And Swordplay, Show All…"
The Platform,2019,"Weighted average of 3.25 based on 591,226 ratings",3.3,95 mins   More at IMDB TMDB,"Drama, Science Fiction, Thriller, Intense Violence And Sexual Transgression, Challenging Or Sexual Themes & Twists, Extreme Gory Horror And Cannibalism, Show All…"
Shazam!,2019,"Weighted average of 3.08 based on 592,224 ratings",3.1,132 mins   More at IMDB TMDB,"Action, Comedy, Fantasy, Epic Heroes, Crude Humor And Satire, Superheroes In Action-Packed Battles With Villains, Action Comedy And Silly Heroics, Kids' Animated Fun And Adventure, Teen School Antics And Laughter, Gags, Jokes, And Slapstick Humor, Show All…"
Rocketman,2019,"Weighted average of 3.68 based on 468,211 ratings",3.7,121 mins   More at IMDB TMDB,"Music, Drama, Song And Dance, Moving Relationship Stories, Humanity And The World Around Us, Emotional Life Of Renowned Artists, Legendary Musicians And Stardom, Dazzling Vocal Performances And Musicals, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Show All…"
Frozen II,2019,"Weighted average of 3.12 based on 539,829 ratings",3.1,103 mins   More at IMDB TMDB,"Comedy, Family, Animation, Adventure, Fantasy, Song And Dance, Moving Relationship Stories, Kids' Animated Fun And Adventure, Fairy-Tale Fantasy And Enchanted Magic, Emotional And Captivating Fantasy Storytelling, Holiday Joy And Heartwarming Christmas, Dazzling Vocal Performances And Musicals, Show All…"
El Camino: A Breaking Bad Movie,2019,"Weighted average of 3.56 based on 506,908 ratings",3.6,123 mins   More at IMDB TMDB,"Crime, Drama, Thriller, Humanity And The World Around Us, Heists And Thrilling Action, Show All…"
