title,year,number_ratings,average_rating,length,genres
A Christmas Cruise,2017,Weighted average of 2.68 based on 272 ratings,2.7,90 mins   More at IMDB TMDB,"Family, TV Movie, Drama, Romance"
Conny Plank: The Potential of Noise,2017,Weighted average of 3.43 based on 343 ratings,3.4,92 mins   More at IMDB TMDB,"Music, Documentary"
O Nome Dela é Gal,2017,No number of ratings available,No average rating available,896 mins   More at IMDB TMDB,Documentary
All Inclusive,2017,Weighted average of 3.05 based on 520 ratings,3.0,105 mins   More at IMDB TMDB,Comedy
The Day I Met El Chapo: The Kate del Castillo Story,2017,Weighted average of 3.27 based on 480 ratings,3.3,More at IMDB TMDB,Documentary
The Price of Success,2017,Weighted average of 3.11 based on 438 ratings,3.1,92 mins   More at IMDB TMDB,"Comedy, Drama"
Between Summer and Fall,2017,Weighted average of 3.24 based on 275 ratings,3.2,102 mins   More at IMDB TMDB,"Drama, Romance"
Guest iin London,2017,Weighted average of 2.82 based on 661 ratings,2.8,132 mins   More at IMDB TMDB,Comedy
A Marriage Story,2017,Weighted average of 3.57 based on 269 ratings,3.6,102 mins   More at IMDB TMDB,Documentary
High School Lover,2017,Weighted average of 2.74 based on 249 ratings,2.7,86 mins   More at IMDB TMDB,"Drama, TV Movie, Romance"
Hitorijime My Hero,2017,Weighted average of 3.14 based on 445 ratings,3.1,288 mins   More at IMDB TMDB,"Comedy, Animation"
Seeking a Man,2017,Weighted average of 3.14 based on 541 ratings,3.1,100 mins   More at IMDB TMDB,"Drama, Romance, Comedy"
Howard Lovecraft & the Undersea Kingdom,2017,Weighted average of 2.88 based on 206 ratings,2.9,89 mins   More at IMDB TMDB,"Animation, Fantasy, Family, Horror, Adventure"
Love at First Glance,2017,Weighted average of 2.74 based on 375 ratings,2.7,90 mins   More at IMDB TMDB,"Romance, Drama, TV Movie, Moving Relationship Stories, Charming Romances And Delightful Chemistry, Laugh-Out-Loud Relationship Entanglements, Captivating Relationships And Charming Romance, Show All…"
Berenice Seeks,2017,Weighted average of 3.19 based on 347 ratings,3.2,90 mins   More at IMDB TMDB,Thriller
Shatamanam Bhavati,2017,Weighted average of 3.16 based on 702 ratings,3.2,135 mins   More at IMDB TMDB,"Family, Drama"
"Tulipani: Love, Honour and a Bicycle",2017,Weighted average of 3.24 based on 406 ratings,3.2,92 mins   More at IMDB TMDB,"Comedy, Drama"
Fátima,2017,Weighted average of 3.45 based on 286 ratings,3.5,153 mins   More at IMDB TMDB,Drama
Ladies,2017,Weighted average of 3.30 based on 364 ratings,3.3,95 mins   More at IMDB TMDB,"Romance, Comedy"
The Kids Are Back,2017,Weighted average of 2.85 based on 541 ratings,2.8,100 mins   More at IMDB TMDB,"Family, Comedy"
The Fabulous Allan Carr,2017,Weighted average of 3.36 based on 327 ratings,3.4,90 mins   More at IMDB TMDB,Documentary
Ultraman Orb the Movie: Let Me Borrow The Power of Bonds!,2017,Weighted average of 3.31 based on 272 ratings,3.3,72 mins   More at IMDB TMDB,"Science Fiction, Action, Fantasy"
Chocante,2017,Weighted average of 2.85 based on 537 ratings,2.9,94 mins   More at IMDB TMDB,Comedy
Raju Gari Gadhi 2,2017,Weighted average of 2.84 based on 674 ratings,2.8,127 mins   More at IMDB TMDB,"Thriller, Horror, Crime"
F.C. De Kampioenen 3: Kampioenen Forever,2017,Weighted average of 2.90 based on 604 ratings,2.9,105 mins   More at IMDB TMDB,Comedy
The Substitute,2017,No number of ratings available,No average rating available,95 mins   More at IMDB TMDB,"Drama, Romance"
Suck It Up,2017,Weighted average of 3.31 based on 219 ratings,3.3,101 mins   More at IMDB TMDB,"Drama, Comedy"
Roller Dreams,2017,Weighted average of 3.55 based on 263 ratings,3.6,82 mins   More at IMDB TMDB,Documentary
Butterfly Kisses,2017,No number of ratings available,No average rating available,89 mins   More at IMDB TMDB,Drama
Tharangam,2017,Weighted average of 3.21 based on 530 ratings,3.2,153 mins   More at IMDB TMDB,"Comedy, Fantasy, Crime"
While We Live,2017,Weighted average of 3.33 based on 457 ratings,3.3,98 mins   More at IMDB TMDB,Drama
