title,year,number_ratings,average_rating,length,genres
Camocim,2017,No number of ratings available,No average rating available,76 mins   More at IMDB TMDB,Documentary
The Drawings of Yves Saint Laurent,2017,No number of ratings available,No average rating available,53 mins   More at TMDB,Documentary
The Royal Hibiscus Hotel,2017,No number of ratings available,No average rating available,90 mins   More at IMDB TMDB,"Romance, Comedy"
Kingdoms,2017,No number of ratings available,No average rating available,79 mins   More at IMDB TMDB,"Drama, Romance"
Give Me Future: Major Lazer in Cuba,2017,No number of ratings available,No average rating available,85 mins   More at IMDB TMDB,"Music, Documentary"
Tadoussac,2017,No number of ratings available,No average rating available,89 mins   More at IMDB TMDB,Drama
"Trinity, the Nekad Traveler",2017,Weighted average of 3.03 based on 288 ratings,3.0,102 mins   More at IMDB TMDB,"Comedy, Drama"
Chi Va Chi Sau Ka,2017,No number of ratings available,No average rating available,136 mins   More at IMDB TMDB,"Romance, Comedy, Family"
Kurt Josef Wagle and the Murder Mystery on the Hurtigruta,2017,Weighted average of 2.96 based on 221 ratings,3.0,80 mins   More at IMDB TMDB,"Horror, Comedy"
Going West,2017,No number of ratings available,No average rating available,76 mins   More at IMDB TMDB,"Drama, Comedy"
Pray for Rain,2017,Weighted average of 2.93 based on 208 ratings,2.9,92 mins   More at IMDB TMDB,"Drama, Mystery, Thriller"
Peace Breaker,2017,No number of ratings available,No average rating available,113 mins   More at IMDB TMDB,"Action, Crime"
The Landlord,2017,No number of ratings available,No average rating available,90 mins   More at IMDB TMDB,"Thriller, TV Movie"
Mountain Devil,2017,No number of ratings available,No average rating available,80 mins   More at IMDB TMDB,"Horror, Documentary"
Ivan Thanthiran,2017,Weighted average of 3.04 based on 312 ratings,3.0,114 mins   More at IMDB TMDB,"Comedy, Action, Thriller"
Il Siciliano,2017,No number of ratings available,No average rating available,82 mins   More at IMDB TMDB,Documentary
Where Has Time Gone?,2017,No number of ratings available,No average rating available,111 mins   More at IMDB TMDB,"Romance, Comedy, Science Fiction, Drama"
