title,year,number_ratings,average_rating,length,genres
O Homem Perfeito,2018,Weighted average of 2.74 based on 569 ratings,2.7,115 mins   More at IMDB TMDB,"Comedy, Romance"
Atlantic Rim: Resurrection,2018,Weighted average of 2.43 based on 362 ratings,2.4,90 mins   More at IMDB TMDB,"Action, Science Fiction"
De film van Dylan Haegens,2018,Weighted average of 2.61 based on 722 ratings,2.6,81 mins   More at IMDB TMDB,"Adventure, Comedy, Science Fiction, Family"
The Day,2018,Weighted average of 3.73 based on 507 ratings,3.7,540 mins   More at IMDB TMDB,"Crime, Drama"
10 Days Before the Wedding,2018,No number of ratings available,No average rating available,122 mins   More at IMDB TMDB,"Drama, Romance, Music"
Barbara Rubin and the Exploding NY Underground,2018,Weighted average of 3.42 based on 287 ratings,3.4,78 mins   More at IMDB TMDB,Documentary
With the Wind,2018,Weighted average of 3.23 based on 283 ratings,3.2,88 mins   More at IMDB TMDB,Drama
Dead Horse Nebula,2018,Weighted average of 3.04 based on 439 ratings,3.0,73 mins   More at IMDB TMDB,Drama
Amici come prima,2018,Weighted average of 2.71 based on 777 ratings,2.7,75 mins   More at IMDB TMDB,Comedy
Jonathan Agassi Saved My Life,2018,Weighted average of 3.39 based on 358 ratings,3.4,106 mins   More at IMDB TMDB,Documentary
Hope at Christmas,2018,Weighted average of 2.95 based on 363 ratings,2.9,90 mins   More at IMDB TMDB,"Romance, Family, TV Movie"
My Last Year as a Loser,2018,Weighted average of 3.53 based on 260 ratings,3.5,90 mins   More at IMDB TMDB,Comedy
Float Like a Butterfly,2018,Weighted average of 3.32 based on 246 ratings,3.3,101 mins   More at IMDB TMDB,"Drama, Moving Relationship Stories, Heartbreaking And Moving Family Drama, Powerful Stories Of Heartbreak And Suffering, Emotional And Touching Family Dramas, Touching And Sentimental Family Stories, Emotional Teen Coming-Of-Age Stories, Show All…"
Rukus,2018,No number of ratings available,No average rating available,87 mins   More at IMDB TMDB,"Fantasy, Documentary, Drama"
The Coach,2018,Weighted average of 3.06 based on 703 ratings,3.1,138 mins   More at IMDB TMDB,Drama
Magic Medicine,2018,Weighted average of 3.42 based on 385 ratings,3.4,79 mins   More at IMDB TMDB,Documentary
Poisonous Roses,2018,Weighted average of 3.21 based on 330 ratings,3.2,70 mins   More at IMDB TMDB,Drama
No One Would Tell,2018,Weighted average of 2.93 based on 372 ratings,2.9,90 mins   More at IMDB TMDB,"Thriller, Mystery, TV Movie, Drama"
Is That You?,2018,Weighted average of 3.13 based on 249 ratings,3.1,107 mins   More at IMDB TMDB,Horror
Mad Mom,2018,Weighted average of 2.85 based on 748 ratings,2.9,85 mins   More at IMDB TMDB,"Comedy, Family"
Savyasachi,2018,Weighted average of 2.83 based on 815 ratings,2.8,151 mins   More at IMDB TMDB,"Action, Thriller"
Last Scene Alive: An Aurora Teagarden Mystery,2018,Weighted average of 3.10 based on 440 ratings,3.1,85 mins   More at IMDB TMDB,"TV Movie, Crime, Mystery, Drama"
Reunited at Christmas,2018,Weighted average of 2.91 based on 348 ratings,2.9,84 mins   More at IMDB TMDB,"Family, TV Movie"
The Competition,2018,Weighted average of 2.62 based on 385 ratings,2.6,105 mins   More at IMDB TMDB,"Romance, Comedy"
Alas Pati,2018,Weighted average of 2.65 based on 632 ratings,2.6,88 mins   More at IMDB TMDB,"Adventure, Horror"
Adrenochrome,2018,Weighted average of 2.78 based on 256 ratings,2.8,85 mins   More at IMDB TMDB,"War, Action, Horror, Fantasy"
Four Cornered Triangle,2018,Weighted average of 3.27 based on 405 ratings,3.3,88 mins   More at IMDB TMDB,Drama
Golden Dawn Girls,2018,Weighted average of 3.50 based on 424 ratings,3.5,95 mins   More at IMDB TMDB,Documentary
La Bolduc,2018,Weighted average of 3.29 based on 570 ratings,3.3,103 mins   More at IMDB TMDB,Drama
One Must Fall,2018,Weighted average of 2.87 based on 333 ratings,2.9,96 mins   More at IMDB TMDB,"Comedy, Horror, Horror, The Undead And Monster Classics, Gory, Gruesome, And Slasher Horror, Terrifying, Haunted, And Supernatural Horror, Twisted Dark Psychological Thriller, Suspenseful Crime Thrillers, Show All…"
Chal Mohan Ranga,2018,Weighted average of 3.05 based on 741 ratings,3.1,148 mins   More at IMDB TMDB,"Family, Romance, Comedy"
The Devil’s Well,2018,Weighted average of 2.86 based on 339 ratings,2.9,88 mins   More at IMDB TMDB,Horror
Spirou & Fantasio’s Big Adventures,2018,Weighted average of 2.57 based on 704 ratings,2.6,89 mins   More at IMDB TMDB,"Adventure, Comedy"
Generation Iron 3,2018,Weighted average of 3.09 based on 606 ratings,3.1,75 mins   More at IMDB TMDB,Documentary
Vlad the Impaler,2018,Weighted average of 2.73 based on 657 ratings,2.7,121 mins   More at IMDB TMDB,"History, Drama, War"
Murer - Anatomy of a Trial,2018,Weighted average of 3.49 based on 461 ratings,3.5,138 mins   More at IMDB TMDB,Drama
Les bonnes conditions,2018,Weighted average of 3.59 based on 415 ratings,3.6,86 mins   More at IMDB TMDB,Documentary
Germany. A Winter’s Tale,2018,Weighted average of 3.23 based on 309 ratings,3.2,125 mins   More at IMDB TMDB,Drama
The Times of Bill Cunningham,2018,Weighted average of 3.36 based on 248 ratings,3.4,71 mins   More at IMDB TMDB,Documentary
Fanney Khan,2018,Weighted average of 2.78 based on 540 ratings,2.8,129 mins   More at IMDB TMDB,"Drama, Music, Comedy"
Charm City,2018,Weighted average of 3.57 based on 230 ratings,3.6,106 mins   More at IMDB TMDB,Documentary
Bellingcat: Truth in a Post-Truth World,2018,Weighted average of 3.43 based on 402 ratings,3.4,88 mins   More at IMDB TMDB,Documentary
Shoot the Moon Right Between the Eyes,2018,No number of ratings available,No average rating available,72 mins   More at IMDB TMDB,"Comedy, Music"
La obra de mi vida,2018,Weighted average of 3.60 based on 480 ratings,3.6,100 mins   More at IMDB TMDB,Comedy
1/1,2018,Weighted average of 3.17 based on 351 ratings,3.2,85 mins   More at IMDB TMDB,Drama
Chicken Girls: The Movie,2018,Weighted average of 2.71 based on 429 ratings,2.7,70 mins   More at IMDB TMDB,"Comedy, Drama, Family, Romance"
Nisekoi: False Love,2018,Weighted average of 3.01 based on 473 ratings,3.0,117 mins   More at IMDB TMDB,"Romance, Comedy"
Bad Ben 5: The Crescent Moon Clown,2018,Weighted average of 2.67 based on 377 ratings,2.7,87 mins   More at IMDB TMDB,"Horror, Comedy"
Playmaker,2018,Weighted average of 3.15 based on 608 ratings,3.1,99 mins   More at IMDB TMDB,"Drama, Crime"
Hitler’s Circle of Evil,2018,Weighted average of 3.58 based on 504 ratings,3.6,520 mins   More at IMDB TMDB,"Documentary, War And Historical Adventure, Nazis And World War II, Politics, Propaganda, And Political Documentaries, Riveting Political And Presidential Drama, Show All…"
Gogol. A Terrible Vengeance,2018,Weighted average of 3.15 based on 507 ratings,3.2,106 mins   More at IMDB TMDB,"Adventure, Thriller, Mystery, Horror"
Iceman: The Time Traveler,2018,Weighted average of 2.61 based on 410 ratings,2.6,95 mins   More at IMDB TMDB,"Action, History, Comedy"
A Very Wicked Halloween: Celebrating 15 Years on Broadway,2018,Weighted average of 3.63 based on 367 ratings,3.6,42 mins   More at IMDB TMDB,Music
Tough Guy: The Bob Probert Story,2018,Weighted average of 3.46 based on 506 ratings,3.5,94 mins   More at IMDB TMDB,Documentary
Home Town,2018,No number of ratings available,No average rating available,80 mins   More at IMDB TMDB,Documentary
Ainhoa: That’s Not Me,2018,Weighted average of 3.58 based on 322 ratings,3.6,98 mins   More at IMDB TMDB,"Drama, Documentary"
Memories of a Dead End,2018,Weighted average of 3.33 based on 219 ratings,3.3,89 mins   More at IMDB TMDB,"Drama, Romance"
The Stolen Caravaggio,2018,Weighted average of 3.01 based on 525 ratings,3.0,110 mins   More at IMDB TMDB,Drama
The Scoundrels,2018,Weighted average of 3.31 based on 472 ratings,3.3,105 mins   More at IMDB TMDB,"Crime, Action"
Pimped,2018,Weighted average of 3.03 based on 360 ratings,3.0,80 mins   More at IMDB TMDB,Thriller
Mr. Know-It-All,2018,Weighted average of 3.28 based on 602 ratings,3.3,99 mins   More at IMDB TMDB,"Drama, Comedy"
"Sergio Leone, une Amérique de légende",2018,Weighted average of 3.50 based on 406 ratings,3.5,53 mins   More at IMDB TMDB,Documentary
Rainbow Days,2018,Weighted average of 3.25 based on 373 ratings,3.3,109 mins   More at IMDB TMDB,"Comedy, Drama"
Our Youth In Taiwan,2018,Weighted average of 3.62 based on 424 ratings,3.6,118 mins   More at IMDB TMDB,Documentary
Planet Single 2,2018,Weighted average of 3.11 based on 719 ratings,3.1,113 mins   More at IMDB TMDB,"Comedy, Romance"
Paris Window,2018,No number of ratings available,No average rating available,85 mins   More at IMDB TMDB,"Comedy, Thriller"
